model,term,is_intercept,effect_scale,hr,lo,hi,p_dir,rhat
Bayes-M4-med,Intercept,TRUE,hazard ratio,0.04119324726940976,0.031899299635475914,0.051332628850838155,NA,1.000701307142585
Bayes-M8-med,Intercept,TRUE,hazard ratio,0.06298998711588935,0.050195343840486864,0.0776535447706511,NA,1.002199360935025
Bayes-M10-med,Intercept,TRUE,hazard ratio,0.11368866221431284,0.08989694803426614,0.1460189999583721,NA,1.0040431746516045
Bayes-M17-med,Intercept,TRUE,hazard ratio,0.08938850808295742,0.06991622144514231,0.11301273586836312,NA,1.0046717431620038
Bayes-M17-geo,Intercept,TRUE,hazard ratio,0.055936528623055225,0.029932912248685727,0.09090864494004289,NA,1.002113324601367
Bayes-M17-geo,log_pop,FALSE,hazard ratio,0.6314898269321952,0.4961539508838352,0.8180435131094318,0.003,1.002113324601367
Bayes-M17-geo,ccvi,FALSE,hazard ratio,1.7578662764697865,1.2706709110000478,2.5519727741252973,0.9985,1.002113324601367
Bayes-M17-geo,d_min,FALSE,hazard ratio,0.7142811057999572,0.5353478419007762,0.9119589102391403,0.0125,1.002113324601367
Bayes-M17-dist-med,Intercept,TRUE,hazard ratio,0.09078079731280511,0.07126695818297715,0.11471232924587102,NA,1.0009548660985979
Bayes-M17-dist-geo,Intercept,TRUE,hazard ratio,0.08068982902890084,0.0459172538554625,0.1345628880683195,NA,1.0021147035343188
Bayes-M17-dist-geo,log_pop,FALSE,hazard ratio,0.678095199216909,0.5184107588453292,0.8718349598485169,0.007,1.0021147035343188
Bayes-M17-dist-geo,ccvi,FALSE,hazard ratio,1.764800171774974,1.2888193219411488,2.5157410205077855,0.999,1.0021147035343188
Bayes-M17-dist-geo,d_min,FALSE,hazard ratio,0.8802592083379239,0.6737252232600683,1.1203584424416146,0.206,1.0021147035343188
Bayes-M8-geo,Intercept,TRUE,hazard ratio,0.03605416522054017,0.019669114557445952,0.05852096209459098,NA,1.0055379735089744
Bayes-M8-geo,log_pop,FALSE,hazard ratio,0.5974150058999943,0.4716275688149942,0.7623472489388923,0,1.0055379735089744
Bayes-M8-geo,ccvi,FALSE,hazard ratio,1.760830447959883,1.2532013536494029,2.554890933365839,0.9985,1.0055379735089744
Bayes-M8-geo,d_min,FALSE,hazard ratio,0.6703331789397612,0.5015930083215512,0.8514236949514653,0.003,1.0055379735089744
Bayes-M4-geo,Intercept,TRUE,hazard ratio,0.023563030565988213,0.01313468505534225,0.04001699844280052,NA,1.001257256666299
Bayes-M4-geo,log_pop,FALSE,hazard ratio,0.5746493864939813,0.44760141212869387,0.7401161622198181,0,1.001257256666299
Bayes-M4-geo,ccvi,FALSE,hazard ratio,1.5869368998010582,1.0714904280546798,2.4081853315323123,0.9735,1.001257256666299
Bayes-M4-geo,d_min,FALSE,hazard ratio,0.6811068617091617,0.520518320163913,0.8752764210244712,0.009,1.001257256666299
Bayes-M10-geo,Intercept,TRUE,hazard ratio,0.10491743215568541,0.05753272711241447,0.17163074276035264,NA,1.001882606966194
Bayes-M10-geo,log_pop,FALSE,hazard ratio,0.6619971488282926,0.5121105697978422,0.848740449545409,0.0035,1.001882606966194
Bayes-M10-geo,ccvi,FALSE,hazard ratio,1.8046424087860717,1.3309319087018827,2.503938949308752,0.9995,1.001882606966194
Bayes-M10-geo,d_min,FALSE,hazard ratio,0.8675818955872063,0.660042323512754,1.1106800602134124,0.179,1.001882606966194
Bayes-M4-dist,Intercept,TRUE,hazard ratio,0.05914600092067389,0.045188755985596164,0.07466471235804513,NA,1.0022952016751105
Bayes-M4-dist-geo,Intercept,TRUE,hazard ratio,0.0482355273664371,0.026235180368465977,0.081392301695209765,NA,1.0031035137103783
Bayes-M4-dist-geo,log_pop,FALSE,hazard ratio,0.628955806330666,0.4912813958640073,0.7993761591212613,0.0015,1.0031035137103783
Bayes-M4-dist-geo,ccvi,FALSE,hazard ratio,1.3718566212567715,0.9267088419227414,2.161007021027439,0.899,1.0031035137103783
Bayes-M4-dist-geo,d_min,FALSE,hazard ratio,0.8663202717325427,0.645002817051198,1.1326563520048567,0.1815,1.0031035137103783
Bayes-M8-dist,Intercept,TRUE,hazard ratio,0.0789305363590308,0.06226600664586052,0.09870999886692768,NA,1.0046430389852554
Bayes-M8-dist-geo,Intercept,TRUE,hazard ratio,0.05604781013955916,0.03145976150841607,0.09545809229342465,NA,1.0014572314903356
Bayes-M8-dist-geo,log_pop,FALSE,hazard ratio,0.6742536261232863,0.5301122758091563,0.8656487723058336,0.0035,1.0014572314903356
Bayes-M8-dist-geo,ccvi,FALSE,hazard ratio,1.7388943226487297,1.2568851233213163,2.5244077427738096,0.999,1.0014572314903356
Bayes-M8-dist-geo,d_min,FALSE,hazard ratio,0.7783526822488172,0.5918459236045127,1.0028929820679098,0.053,1.0014572314903356
Bayes-M10-dist,Intercept,TRUE,hazard ratio,0.0925617223175969,0.07211899475177531,0.1160089756009825,NA,1.0024637825212186
Bayes-M10-dist-geo,Intercept,TRUE,hazard ratio,0.1202057355822882,0.0685378218366466,0.20203815937188435,NA,1.0054721999650482
Bayes-M10-dist-geo,log_pop,FALSE,hazard ratio,0.6873868220214292,0.5331717583204036,0.896274378602912,0.011,1.0054721999650482
Bayes-M10-dist-geo,ccvi,FALSE,hazard ratio,1.924792231471852,1.381131093940777,2.7709318103213563,1,1.0054721999650482
Bayes-M10-dist-geo,d_min,FALSE,hazard ratio,1.04565666375975,0.8058152653437579,1.3248196074278362,0.6185,1.0054721999650482
