model,term,is_intercept,effect_scale,hr,lo,hi,p_dir,rhat
Bayes-M4-med,Intercept,TRUE,hazard ratio,0.04408374021478155,0.03414819310676684,0.05508706531331032,NA,1.0005184172481292
Bayes-M8-med,Intercept,TRUE,hazard ratio,0.06794455663383847,0.053875171715875414,0.08483948842575062,NA,1.002620792804276
Bayes-M10-med,Intercept,TRUE,hazard ratio,0.12138420759725058,0.09337416602010837,0.15329112809074075,NA,1.0044946022112389
Bayes-M17-med,Intercept,TRUE,hazard ratio,0.09347618322516593,0.07463882174422101,0.11904666465728916,NA,1.0129468599529299
Bayes-M17-geo,Intercept,TRUE,hazard ratio,0.06281406519297016,0.03458665102509593,0.10082043567639024,NA,1.0036670394824443
Bayes-M17-geo,log_pop,FALSE,hazard ratio,0.6970879415000033,0.547143181186188,0.892141422768164,0.0115,1.0036670394824443
Bayes-M17-geo,ccvi,FALSE,hazard ratio,1.6971606058412165,1.2422136571256326,2.468336201063754,0.9965,1.0036670394824443
Bayes-M17-geo,d_min,FALSE,hazard ratio,0.7367222342363701,0.5610355020016593,0.9367592614277114,0.0185,1.0036670394824443
Bayes-M17-dist-med,Intercept,TRUE,hazard ratio,0.09445431032740406,0.07541910391775272,0.12029339371533673,NA,1.0129456490839222
Bayes-M17-dist-geo,Intercept,TRUE,hazard ratio,0.08492995643767903,0.045090972147593264,0.1419644957936872,NA,1.00175070248102
Bayes-M17-dist-geo,log_pop,FALSE,hazard ratio,0.7470867885768642,0.5813446562348269,0.952772391637596,0.0195,1.00175070248102
Bayes-M17-dist-geo,ccvi,FALSE,hazard ratio,1.7141277066961207,1.2251799223912567,2.4742482239653123,0.9975,1.00175070248102
Bayes-M17-dist-geo,d_min,FALSE,hazard ratio,0.8722988449367839,0.6600434812358076,1.1252315051813642,0.195,1.00175070248102
Bayes-M8-geo,Intercept,TRUE,hazard ratio,0.04003343105623461,0.021074531434127138,0.06613139003923199,NA,1.0030678440989254
Bayes-M8-geo,log_pop,FALSE,hazard ratio,0.650047547118129,0.5051721339180812,0.8287600765733453,0.0025,1.0030678440989254
Bayes-M8-geo,ccvi,FALSE,hazard ratio,1.7304696119985001,1.2460122555297972,2.5266691489311124,0.998,1.0030678440989254
Bayes-M8-geo,d_min,FALSE,hazard ratio,0.6845811148086735,0.5009964527611747,0.8949117949564321,0.005,1.0030678440989254
Bayes-M4-geo,Intercept,TRUE,hazard ratio,0.025525494466247668,0.014018978468356683,0.04383963135583274,NA,1.0191954169035493
Bayes-M4-geo,log_pop,FALSE,hazard ratio,0.6066867136228483,0.4726927573157877,0.7817117065663584,0.002,1.0191954169035493
Bayes-M4-geo,ccvi,FALSE,hazard ratio,1.5385778535622379,1.0751249190670153,2.3004255050161135,0.978,1.0191954169035493
Bayes-M4-geo,d_min,FALSE,hazard ratio,0.6876703282121237,0.518190520781991,0.8934153284208499,0.013,1.0191954169035493
Bayes-M10-geo,Intercept,TRUE,hazard ratio,0.10558397913867124,0.061159160088532394,0.1746246277731962,NA,1.0051279972953613
Bayes-M10-geo,log_pop,FALSE,hazard ratio,0.7472570986920106,0.5849664768133737,0.956878749392043,0.031,1.0051279972953613
Bayes-M10-geo,ccvi,FALSE,hazard ratio,1.7503190139605729,1.300132304356974,2.545411548292332,0.999,1.0051279972953613
Bayes-M10-geo,d_min,FALSE,hazard ratio,0.8628104188204453,0.6698344893778948,1.0969074711178861,0.172,1.0051279972953613
Bayes-M4-dist,Intercept,TRUE,hazard ratio,0.062241776936148616,0.04924677457883117,0.07720429148082013,NA,1.0010712743942467
Bayes-M4-dist-geo,Intercept,TRUE,hazard ratio,0.051505244065030396,0.028828445423671953,0.08712799602092733,NA,1.0023343209319322
Bayes-M4-dist-geo,log_pop,FALSE,hazard ratio,0.6642197768820721,0.5214839512840053,0.8704172202326674,0.005,1.0023343209319322
Bayes-M4-dist-geo,ccvi,FALSE,hazard ratio,1.316520749209718,0.8589405410589351,2.095159369837138,0.848,1.0023343209319322
Bayes-M4-dist-geo,d_min,FALSE,hazard ratio,0.8713536839778246,0.6686452839373259,1.1361110887111516,0.203,1.0023343209319322
Bayes-M8-dist,Intercept,TRUE,hazard ratio,0.0832130745128907,0.06607808616227495,0.10640096001971741,NA,1.0181070354229602
Bayes-M8-dist-geo,Intercept,TRUE,hazard ratio,0.05921028938151382,0.03297593544996396,0.10085547021629464,NA,1.0062288138501807
Bayes-M8-dist-geo,log_pop,FALSE,hazard ratio,0.7370432882016597,0.5755129036153492,0.9453423462869986,0.025,1.0062288138501807
Bayes-M8-dist-geo,ccvi,FALSE,hazard ratio,1.6750806110220933,1.2037061003954255,2.4392462646454103,0.9945,1.0062288138501807
Bayes-M8-dist-geo,d_min,FALSE,hazard ratio,0.7835939260477494,0.6042996737429084,1.0005635600472356,0.052,1.0062288138501807
Bayes-M10-dist,Intercept,TRUE,hazard ratio,0.09877522182731949,0.07764207782737266,0.12502681221763987,NA,1.002261267175153
Bayes-M10-dist-geo,Intercept,TRUE,hazard ratio,0.12405889230600484,0.07004561241100514,0.1980939714358332,NA,1.0026230668605736
Bayes-M10-dist-geo,log_pop,FALSE,hazard ratio,0.778909157265399,0.604490334088317,1.031987864273879,0.072,1.0026230668605736
Bayes-M10-dist-geo,ccvi,FALSE,hazard ratio,1.8528735060168626,1.341262944624942,2.6890859951325474,1,1.0026230668605736
Bayes-M10-dist-geo,d_min,FALSE,hazard ratio,1.0414863763227427,0.8026722594885168,1.3195414163534362,0.6255,1.0026230668605736
