model,term,is_intercept,effect_scale,hr,lo,hi,p_dir,rhat
Bayes-M4-med,Intercept,TRUE,hazard ratio,0.090611096094453,0.06898100660176713,0.11599964063646252,NA,1.0010698172574792
Bayes-M8-med,Intercept,TRUE,hazard ratio,0.12318571258825131,0.09203610122643177,0.15713998352416747,NA,1.002185452616938
Bayes-M9-med,Intercept,TRUE,hazard ratio,0.12501817528234388,0.0961525246099627,0.1580830422535353,NA,1.002319031158812
Bayes-M10-med,Intercept,TRUE,hazard ratio,0.16599305151939941,0.1302656014301322,0.21128708198298313,NA,1.0066002538389158
Bayes-M15-med,Intercept,TRUE,hazard ratio,0.1574407320117393,0.12006521989662851,0.2023256107272683,NA,1.0068729096925204
Bayes-M15-full,Intercept,TRUE,hazard ratio,0.11932452923319531,0.06346588077990883,0.1923626007444462,NA,1.0068391833135095
Bayes-M15-full,log_pop,FALSE,hazard ratio,0.8004421753973661,0.6018816385687834,1.0769338513180233,0.1155,1.0068391833135095
Bayes-M15-full,ccvi,FALSE,hazard ratio,2.0504926798593353,1.2370759251736614,3.5846980519946405,0.993,1.0068391833135095
Bayes-M15-full,d_min,FALSE,hazard ratio,0.6854643910218002,0.41362186664993805,1.134194469389272,0.112,1.0068391833135095
Bayes-M15-full,healthsite_density,FALSE,hazard ratio,1.3314756313194187,0.4095667010106873,3.0141163707198966,0.658,1.0068391833135095
Bayes-M15-short,Intercept,TRUE,hazard ratio,0.14349841344155387,0.11155246007233888,0.18312287083169218,NA,1.0049015950451703
Bayes-M15-short-full,Intercept,TRUE,hazard ratio,0.10730422804024145,0.05849019188359306,0.17430909893090005,NA,1.002406671381909
Bayes-M15-short-full,log_pop,FALSE,hazard ratio,0.7963554083346968,0.6178502274798481,1.0568966045524575,0.0885,1.002406671381909
Bayes-M15-short-full,ccvi,FALSE,hazard ratio,2.0031355428518225,1.2148916161694652,3.3226095882673192,0.991,1.002406671381909
Bayes-M15-short-full,d_min,FALSE,hazard ratio,0.6851179574185027,0.41845547566642943,1.1084051894333848,0.102,1.002406671381909
Bayes-M15-short-full,healthsite_density,FALSE,hazard ratio,1.3249541371418831,0.42624125148009034,3.004268338296599,0.676,1.002406671381909
Bayes-M15-long,Intercept,TRUE,hazard ratio,0.16823529831674283,0.13169883928903764,0.21330185068158244,NA,1.0028487006955031
Bayes-M15-long-full,Intercept,TRUE,hazard ratio,0.12743465575150115,0.06816446587366977,0.2048837120608856,NA,1.0073736275042289
Bayes-M15-long-full,log_pop,FALSE,hazard ratio,0.798834172268287,0.58478502968732,1.0716903799433692,0.1105,1.0073736275042289
Bayes-M15-long-full,ccvi,FALSE,hazard ratio,2.0839234502235815,1.2055018799656814,3.709504632324662,0.9895,1.0073736275042289
Bayes-M15-long-full,d_min,FALSE,hazard ratio,0.6807750700215,0.3961016894436222,1.1320624285790934,0.1065,1.0073736275042289
Bayes-M15-long-full,healthsite_density,FALSE,hazard ratio,1.2924235609868056,0.387317208815287,3.099913871503,0.6515,1.0073736275042289
Bayes-M17-med,Intercept,TRUE,hazard ratio,0.13174949915631315,0.1005126025915438,0.17003107749650764,NA,1.0034022014399282
Bayes-M17-full,Intercept,TRUE,hazard ratio,0.08962907333146247,0.039995288242978495,0.18275757548517058,NA,1.0027292992136347
Bayes-M17-full,log_pop,FALSE,hazard ratio,0.8682562491497434,0.6505227162327037,1.15261526090933,0.204,1.0027292992136347
Bayes-M17-full,ccvi,FALSE,hazard ratio,1.5814109029241508,1.082901199199133,2.4795651775766254,0.9785,1.0027292992136347
Bayes-M17-full,d_min,FALSE,hazard ratio,0.8185611010369779,0.56816356947269675,1.1630406887988398,0.169,1.0027292992136347
Bayes-M17-full,healthsite_density,FALSE,hazard ratio,0.8221345344004624,0.30704168863730863,1.5929594409657675,0.3465,1.0027292992136347
Bayes-M17-short,Intercept,TRUE,hazard ratio,0.12098501308431145,0.09201365870824502,0.15218075504947265,NA,1.0081247135764215
Bayes-M17-short-full,Intercept,TRUE,hazard ratio,0.08553798086222067,0.036743908765692425,0.16436757189499035,NA,1.001511807730627
Bayes-M17-short-full,log_pop,FALSE,hazard ratio,0.890655175357242,0.6678829993276538,1.1716332189208312,0.237,1.001511807730627
Bayes-M17-short-full,ccvi,FALSE,hazard ratio,1.5932375335577436,1.0551630939044248,2.4461348075861418,0.9755,1.001511807730627
Bayes-M17-short-full,d_min,FALSE,hazard ratio,0.8344000284914599,0.5696216870169113,1.1699724218437257,0.197,1.001511807730627
Bayes-M17-short-full,healthsite_density,FALSE,hazard ratio,0.8160504256161857,0.30031098685640084,1.6557566813575282,0.339,1.001511807730627
Bayes-M17-long,Intercept,TRUE,hazard ratio,0.14185886841802026,0.10822864173182198,0.18114513604534996,NA,0.9993113004061945
Bayes-M17-long-full,Intercept,TRUE,hazard ratio,0.09535872002496314,0.041558946831573934,0.19542835767590716,NA,1.0024638737193483
Bayes-M17-long-full,log_pop,FALSE,hazard ratio,0.8672621368258933,0.6475014758395374,1.1589138456585184,0.2035,1.0024638737193483
Bayes-M17-long-full,ccvi,FALSE,hazard ratio,1.6171312654215657,1.071556503497693,2.498702612185042,0.9725,1.0024638737193483
Bayes-M17-long-full,d_min,FALSE,hazard ratio,0.8071252003076936,0.5474286517036152,1.159785670446351,0.181,1.0024638737193483
Bayes-M17-long-full,healthsite_density,FALSE,hazard ratio,0.8113721001541485,0.30781267749902946,1.6609519888959638,0.3315,1.0024638737193483
Bayes-M17-dist-med,Intercept,TRUE,hazard ratio,0.12454468647120501,0.09599155581820383,0.1589738797618397,NA,1.0010961424205176
Bayes-M17-dist-full,Intercept,TRUE,hazard ratio,0.09719882344316554,0.0452175561610368,0.19292559356156613,NA,1.0024149938292783
Bayes-M17-dist-full,log_pop,FALSE,hazard ratio,0.9112087344182118,0.6931299063773225,1.1878249198233082,0.2735,1.0024149938292783
Bayes-M17-dist-full,ccvi,FALSE,hazard ratio,1.5691404610904618,1.0326242404845414,2.5365003838068527,0.958,1.0024149938292783
Bayes-M17-dist-full,d_min,FALSE,hazard ratio,0.8754155109500237,0.6127732006637533,1.2478360611433588,0.281,1.0024149938292783
Bayes-M17-dist-full,healthsite_density,FALSE,hazard ratio,0.8094677083780533,0.2703118861472707,1.6694095134694749,0.329,1.0024149938292783
Bayes-M17-dist-short,Intercept,TRUE,hazard ratio,0.11332466373138225,0.08674283123700965,0.14431207081380312,NA,1.0007242652599704
Bayes-M17-dist-short-full,Intercept,TRUE,hazard ratio,0.09370328410411051,0.04382070900505058,0.1803905368777533,NA,1.0039502146016597
Bayes-M17-dist-short-full,log_pop,FALSE,hazard ratio,0.9114735608895617,0.6897240112088354,1.1971359948217395,0.2765,1.0039502146016597
