model,term,is_intercept,effect_scale,hr,lo,hi,p_dir,rhat
Bayes-M4-med,Intercept,TRUE,hazard ratio,0.04840020654219395,0.03807813201911335,0.05989159505398852,NA,1.002071057535689
Bayes-M8-med,Intercept,TRUE,hazard ratio,0.07390002238686383,0.059036966546603294,0.09212420299782273,NA,1.002333772470803
Bayes-M10-med,Intercept,TRUE,hazard ratio,0.1301195743787405,0.1048267377006392,0.16052077178925417,NA,1.0017353877466677
Bayes-M17-med,Intercept,TRUE,hazard ratio,0.10250852634605792,0.08160610446512666,0.12775547772362172,NA,1.0003974838585972
Bayes-M17-geo,Intercept,TRUE,hazard ratio,0.07142462804883143,0.04213809088001636,0.11681339480046095,NA,1.002732578767867
Bayes-M17-geo,log_pop,FALSE,hazard ratio,0.7269640709012959,0.5779760506683153,0.9148585207518735,0.0125,1.002732578767867
Bayes-M17-geo,ccvi,FALSE,hazard ratio,1.6319105185504448,1.2083783819687832,2.364382757913798,0.9975,1.002732578767867
Bayes-M17-geo,d_min,FALSE,hazard ratio,0.7604102341842711,0.5910197669350796,0.9633103607185158,0.026,1.002732578767867
Bayes-M17-dist-med,Intercept,TRUE,hazard ratio,0.10528446014269127,0.0845672051386264,0.12860809233817966,NA,1.0006701287921196
Bayes-M17-dist-geo,Intercept,TRUE,hazard ratio,0.0961763734944499,0.05611286900366236,0.15319879939147404,NA,1.0037935262030009
Bayes-M17-dist-geo,log_pop,FALSE,hazard ratio,0.7763148079999318,0.6148049233879176,0.9885850240643479,0.043,1.0037935262030009
Bayes-M17-dist-geo,ccvi,FALSE,hazard ratio,1.6509445459459982,1.2235017118348535,2.339374984188692,0.995,1.0037935262030009
Bayes-M17-dist-geo,d_min,FALSE,hazard ratio,0.9041055576887986,0.7049713074063144,1.122598658013798,0.2235,1.0037935262030009
Bayes-M8-geo,Intercept,TRUE,hazard ratio,0.04583531628831013,0.026709738767175643,0.0732269529267378,NA,1.0006671769853428
Bayes-M8-geo,log_pop,FALSE,hazard ratio,0.6742295255936626,0.5346318705799271,0.8586932393373997,0.005,1.0006671769853428
Bayes-M8-geo,ccvi,FALSE,hazard ratio,1.664882041538706,1.2051639906395435,2.393526256710869,0.996,1.0006671769853428
Bayes-M8-geo,d_min,FALSE,hazard ratio,0.7138319812650111,0.5543603383214306,0.8991927464481938,0.0055,1.0006671769853428
Bayes-M4-geo,Intercept,TRUE,hazard ratio,0.030367249963698405,0.017485799755537906,0.050176968398813825,NA,1.0035241957491192
Bayes-M4-geo,log_pop,FALSE,hazard ratio,0.6245082276370019,0.48830073814440633,0.8084715188496366,0.0015,1.0035241957491192
Bayes-M4-geo,ccvi,FALSE,hazard ratio,1.4646697423582633,1.0358821356638916,2.1852487208563347,0.969,1.0035241957491192
Bayes-M4-geo,d_min,FALSE,hazard ratio,0.7232730179380779,0.5548595890205875,0.9152969599569508,0.0145,1.0035241957491192
Bayes-M10-geo,Intercept,TRUE,hazard ratio,0.11918199609563804,0.06794633314771982,0.1972157282787845,NA,1.002077133932993
Bayes-M10-geo,log_pop,FALSE,hazard ratio,0.7824123481098737,0.6275776060843051,0.9937035765689425,0.0475,1.002077133932993
Bayes-M10-geo,ccvi,FALSE,hazard ratio,1.7100466242617531,1.278425298572975,2.3591259853007687,0.999,1.002077133932993
Bayes-M10-geo,d_min,FALSE,hazard ratio,0.8840498092212554,0.6908595339566145,1.127162544109794,0.2155,1.002077133932993
Bayes-M4-dist,Intercept,TRUE,hazard ratio,0.06813754261717613,0.05334377852346247,0.08431760041716861,NA,1.0049457372384152
Bayes-M4-dist-geo,Intercept,TRUE,hazard ratio,0.06194770116425573,0.03489791041865887,0.10017707835991876,NA,1.0035886565460803
Bayes-M4-dist-geo,log_pop,FALSE,hazard ratio,0.6912033589029261,0.5405627610493347,0.8862901809438029,0.0065,1.0035886565460803
Bayes-M4-dist-geo,ccvi,FALSE,hazard ratio,1.2415181457784177,0.8404739336584827,1.8321689895579825,0.804,1.0035886565460803
Bayes-M4-dist-geo,d_min,FALSE,hazard ratio,0.916628256292283,0.6947825629490018,1.1667087821560762,0.2795,1.0035886565460803
Bayes-M8-dist,Intercept,TRUE,hazard ratio,0.09176535507648657,0.07202681236744031,0.11516971568262449,NA,1.0010950782966426
Bayes-M8-dist-geo,Intercept,TRUE,hazard ratio,0.0690375778516949,0.04029650232058551,0.11326900597374157,NA,1.00194093839958
Bayes-M8-dist-geo,log_pop,FALSE,hazard ratio,0.7660928794638611,0.6112526146301326,0.9746208738023402,0.033,1.00194093839958
Bayes-M8-dist-geo,ccvi,FALSE,hazard ratio,1.6318935464452178,1.2105319949799855,2.3094950497004882,0.997,1.00194093839958
Bayes-M8-dist-geo,d_min,FALSE,hazard ratio,0.810832032208085,0.630400538989748,1.0227785745800626,0.0685,1.00194093839958
Bayes-M10-dist,Intercept,TRUE,hazard ratio,0.10799892021671267,0.08451933662824987,0.13429729782849953,NA,1.0010795343358498
Bayes-M10-dist-geo,Intercept,TRUE,hazard ratio,0.1379095560251231,0.08188103826460531,0.22474295833113828,NA,1.0019446490138277
Bayes-M10-dist-geo,log_pop,FALSE,hazard ratio,0.8149079936675094,0.6441506422479368,1.0472413428763925,0.09,1.0019446490138277
Bayes-M10-dist-geo,ccvi,FALSE,hazard ratio,1.7659645856818014,1.3093412840531844,2.4777470342795778,1,1.0019446490138277
Bayes-M10-dist-geo,d_min,FALSE,hazard ratio,1.0605631043501986,0.835757807604291,1.3309192929972944,0.6605,1.0019446490138277
