health_zone,province,horizon,was_active_before,p_case_invasion,p_case_lo,p_case_hi,p_median,rank_med,rank_lo,rank_hi,mu_forecast,rr_nat,rr_nat_rank,rr01_nat,rr_ituri,rr_ituri_rank,rr_nordkivu,rr_nordkivu_rank,rr_hautuele,rr_hautuele_rank,V,priority,priority_rank,surveillance_gap,healthcare_gap,access_gap,social_vulnerability,healthcare_travel_min,method
Karisimbi,Nord-Kivu,1,FALSE,0.0865,0.0676,0.1074,0.0859,11,10,11,0.0906,9.3655,11,0.1484,NA,NA,1.8895,3,NA,NA,0.1597,0.0877,21,0.0907,0.5154,0,0.0328,0,Bayes-M10-med
Angumu,Ituri,1,FALSE,0.0816,0.0638,0.101,0.081,12,11,12,0.0852,8.8155,12,0.1401,0.4551,4,NA,NA,NA,NA,0.11,0.057,31,0.1641,0.1641,0,0.112,0,Bayes-M10-med
Nyiragongo,Nord-Kivu,1,FALSE,0.0718,0.056,0.0892,0.0712,13,13,14,0.0745,7.7062,13,0.1231,NA,NA,1.5547,4,NA,NA,0.2891,0.1317,14,0.2432,0.8764,0,0.0367,0,Bayes-M10-med
Alimbongo,Nord-Kivu,1,FALSE,0.0701,0.0546,0.0872,0.0696,14,14,15,0.0727,7.5182,14,0.1202,NA,NA,1.5168,5,NA,NA,0.4262,0.1895,10,0.5849,0.7471,0,0.3726,0,Bayes-M10-med
Linga,Ituri,1,FALSE,0.0692,0.0523,0.0887,0.0684,15,13,15,0.0718,7.4282,15,0.1188,0.3835,5,NA,NA,NA,NA,0.2148,0.0944,19,0.1969,0.3417,0,0.3205,0,Bayes-M10-med
Jiba,Ituri,1,FALSE,0.0646,0.0483,0.0833,0.064,16,16,18,0.0669,6.9184,16,0.1109,0.3572,6,NA,NA,NA,NA,0.1651,0.0677,27,0.1815,0.1274,0,0.3514,0,Bayes-M10-med
Rwanguba,Nord-Kivu,1,FALSE,0.0619,0.0482,0.0772,0.0615,17,16,17,0.064,6.6167,17,0.1063,NA,NA,1.3349,6,NA,NA,0.2442,0.096,18,0.2085,0.7027,0,0.0656,0,Bayes-M10-med
Kibirizi,Nord-Kivu,1,FALSE,0.0591,0.046,0.0736,0.0586,18,17,18,0.0609,6.3006,18,0.1013,NA,NA,1.2711,7,NA,NA,0.4175,0.1565,12,0.5405,0.8552,0,0.2741,0,Bayes-M10-med
Kirotshe,Nord-Kivu,1,FALSE,0.0577,0.0449,0.0721,0.0573,19,19,19,0.0595,6.1506,19,0.099,NA,NA,1.2409,8,NA,NA,0.3842,0.1407,13,0.3764,0.9961,0,0.1641,0,Bayes-M10-med
Kamango,Nord-Kivu,1,FALSE,0.0452,0.035,0.0566,0.0448,20,20,20,0.0463,4.7883,20,0.0776,NA,NA,0.966,9,NA,NA,0.4373,0.1255,15,0.6583,0.917,0,0.1737,0,Bayes-M10-med
Adi,Ituri,1,FALSE,0.0392,0.0293,0.0506,0.0386,21,21,21,0.0401,4.1421,21,0.0673,0.2139,7,NA,NA,NA,NA,0.3977,0.0991,16,0.2587,0.7104,0,0.6216,0,Bayes-M10-med
Laybo,Ituri,1,FALSE,0.0349,0.0266,0.0445,0.0345,22,22,24,0.0355,3.6755,22,0.0599,0.1898,8,NA,NA,NA,NA,0.3393,0.0752,24,0.3069,0.556,0,0.4942,0,Bayes-M10-med
Banalia,Tshopo,1,FALSE,0.0341,0.0259,0.0436,0.0337,23,23,27,0.0347,3.5918,23,0.0585,NA,NA,NA,NA,NA,NA,0.4242,0.0919,20,0.7799,0.1178,0,0.7992,0,Bayes-M10-med
Faradje,Haut-Uele,1,FALSE,0.034,0.0259,0.0433,0.0336,24,24,26,0.0346,3.5774,24,0.0583,NA,NA,NA,NA,0.3484,5,0.4474,0.0965,17,0.7606,0.666,0,0.3629,0,Bayes-M10-med
Bambo,Nord-Kivu,1,FALSE,0.0339,0.0263,0.0423,0.0336,25,22,25,0.0345,3.5638,25,0.0581,NA,NA,0.719,10,NA,NA,0.3962,0.0852,23,0.5521,0.9073,0,0.1255,0,Bayes-M10-med
Nsele,Kinshasa,1,FALSE,0.0331,0.0257,0.0413,0.0328,26,23,26,0.0337,3.4848,26,0.0568,NA,NA,NA,NA,NA,NA,0.1583,0.0333,43,0.139,0.3996,0,0.0946,0,Bayes-M10-med
Gombe,Kinshasa,1,FALSE,0.0322,0.025,0.0402,0.0319,27,25,27,0.0327,3.3857,27,0.0552,NA,NA,NA,NA,NA,NA,0.1622,0.0331,44,0.0695,0.5695,0,0.0097,0,Bayes-M10-med
Ibanda,Sud-Kivu,1,FALSE,0.0314,0.0244,0.0393,0.0311,28,28,28,0.0319,3.3002,28,0.053900000000000003,NA,NA,NA,NA,NA,NA,0.2307,0.046,34,0.083,0.6216,0,0.2181,0,Bayes-M10-med
Yakusu,Tshopo,1,FALSE,0.0302,0.0234,0.0378,0.03,29,29,29,0.0307,3.1759,29,0.0519,NA,NA,NA,NA,NA,NA,0.319,0.0612,30,0.4208,0.2085,0,0.6467,0,Bayes-M10-med
Binza,Nord-Kivu,1,FALSE,0.0293,0.0227,0.0366,0.029,30,30,30,0.0297,3.0712,30,0.0502,NA,NA,0.6196,11,NA,NA,0.3518,0.0653,29,0.471,0.8378,0,0.0985,0,Bayes-M10-med
Minova,Sud-Kivu,1,FALSE,0.0281,0.0218,0.0352,0.0279,31,31,31,0.0285,2.9486,31,0.0482,NA,NA,NA,NA,NA,NA,0.3866,0.069,26,0.4421,0.9826,0,0.1216,0,Bayes-M10-med
Mweso,Nord-Kivu,1,FALSE,0.0267,0.0207,0.0335,0.0265,32,32,32,0.0271,2.7987,32,0.0458,NA,NA,0.5646,12,NA,NA,0.4189,0.071,25,0.4498,0.9614,0,0.2645,0,Bayes-M10-med
Limete,Kinshasa,1,FALSE,0.025,0.0194,0.0312,0.0248,33,33,34,0.0253,2.619,33,0.0429,NA,NA,NA,NA,NA,NA,0.056,0.0089,95,0.0405,0.1371,0,0.0463,0,Bayes-M10-med
Masisi,Nord-Kivu,1,FALSE,0.0242,0.0188,0.0304,0.024,34,34,35,0.0245,2.5378,34,0.0416,NA,NA,0.512,13,NA,NA,0.4402,0.0677,28,0.4324,0.9575,0,0.3707,0,Bayes-M10-med
Aba,Haut-Uele,1,FALSE,0.024,0.0182,0.0306,0.0237,35,33,38,0.0243,2.51,35,0.0411,NA,NA,NA,NA,0.2445,6,0.569,0.0866,22,0.6004,0.6853,0,0.9903,0,Bayes-M10-med
Kadutu,Sud-Kivu,1,FALSE,0.0231,0.0179,0.0289,0.0229,36,35,37,0.0234,2.4156,36,0.0396,NA,NA,NA,NA,NA,NA,0.1636,0.024,53,0.0579,0.3861,0,0.2104,0,Bayes-M10-med
Binza Ozone,Kinshasa,1,FALSE,0.023,0.0178,0.0287,0.0228,37,36,39,0.0233,2.4067,38,0.0395,NA,NA,NA,NA,NA,NA,0.152,0.0222,54,0.0734,0.5232,0,0.0116,0,Bayes-M10-med
Katana,Sud-Kivu,1,FALSE,0.023,0.0178,0.0288,0.0228,38,37,39,0.0233,2.4063,39,0.0394,NA,NA,NA,NA,NA,NA,0.3224,0.0471,33,0.2471,0.9112,0,0.1313,0,Bayes-M10-med
Bengamisa,Tshopo,1,FALSE,0.023,0.0177,0.0291,0.0228,38,36,41,0.0233,2.411,37,0.0395,NA,NA,NA,NA,NA,NA,0.3012,0.044,38,0.612,0.2162,0,0.3764,0,Bayes-M10-med
Kokolo,Kinshasa,1,FALSE,0.0225,0.0174,0.0281,0.0222,40,39,40,0.0227,2.3501,40,0.0385,NA,NA,NA,NA,NA,NA,0.2172,0.031,46,0.0772,0.7722,0,0.0193,0,Bayes-M10-med
Lingwala,Kinshasa,1,FALSE,0.0223,0.0173,0.0279,0.0221,41,40,41,0.0226,2.3346,41,0.0383,NA,NA,NA,NA,NA,NA,0.0323,0.0046,130,0.0232,0.0907,0,0.0154,0,Bayes-M10-med
Kalamu 1,Kinshasa,1,FALSE,0.0199,0.0155,0.0249,0.0197,42,42,43,0.0201,2.081,42,0.0342,NA,NA,NA,NA,NA,NA,0.0309,0.0039,141,0.0193,0.0734,0,0.0309,0,Bayes-M10-med
Kasa Vubu,Kinshasa,1,FALSE,0.0199,0.0154,0.0249,0.0197,44,44,45,0.0201,2.0772,44,0.0341,NA,NA,NA,NA,NA,NA,0.0444,0.0056,117,0.0309,0.1216,0,0.0251,0,Bayes-M10-med
Kinshasa,Kinshasa,1,FALSE,0.0199,0.0154,0.0249,0.0197,43,43,44,0.0201,2.0792,43,0.0341,NA,NA,NA,NA,NA,NA,0.0203,0.0026,189,0.0135,0.0463,0,0.0212,0,Bayes-M10-med
Kabare,Sud-Kivu,1,FALSE,0.0198,0.0153,0.0248,0.0196,45,42,45,0.02,2.0641,45,0.0339,NA,NA,NA,NA,NA,NA,0.3567,0.0447,37,0.2394,0.9884,0,0.1988,0,Bayes-M10-med
Bafwagbogbo,Tshopo,1,FALSE,0.0179,0.0136,0.0227,0.0177,46,46,49,0.018,1.8659,46,0.0307,NA,NA,NA,NA,NA,NA,0.3948,0.0448,35,0.8591,0.027,0,0.6931,0,Bayes-M10-med
Lemba,Kinshasa,1,FALSE,0.0178,0.0138,0.0222,0.0176,47,46,47,0.0179,1.8527,47,0.0305,NA,NA,NA,NA,NA,NA,0.1023,0.0115,79,0.0483,0.3069,0,0.0541,0,Bayes-M10-med
Masina 1,Kinshasa,1,FALSE,0.0176,0.0136,0.022,0.0174,48,47,48,0.0177,1.8339,48,0.0301,NA,NA,NA,NA,NA,NA,0.0193,0.0022,216,0.0077,0.0077,0,0.0618,0,Bayes-M10-med
Kintambo,Kinshasa,1,FALSE,0.0175,0.0135,0.0218,0.0173,49,48,49,0.0176,1.8227,49,0.03,NA,NA,NA,NA,NA,NA,0.0338,0.0037,144,0.0212,0.1004,0,0.0135,0,Bayes-M10-med
Katoyi,Nord-Kivu,1,FALSE,0.0155,0.012,0.0195,0.0154,50,50,50,0.0157,1.6192,50,0.0266,NA,NA,0.3267,14,NA,NA,0.4542,0.0448,36,0.4614,0.9595,0,0.3958,0,Bayes-M10-med
Masina 2,Kinshasa,1,FALSE,0.0151,0.0117,0.0189,0.0149,51,51,51,0.0152,1.5733,51,0.0259,NA,NA,NA,NA,NA,NA,0.0265,0.0025,190,0.0174,0.0193,0,0.0695,0,Bayes-M10-med
Bandalungwa,Kinshasa,1,FALSE,0.015,0.0117,0.0188,0.0149,52,52,52,0.0151,1.5663,52,0.0258,NA,NA,NA,NA,NA,NA,0.0709,0.0068,104,0.0328,0.2336,0,0.0174,0,Bayes-M10-med
Uvira,Sud-Kivu,1,FALSE,0.0145,0.0112,0.0182,0.0143,53,53,54,0.0146,1.5075,53,0.0248,NA,NA,NA,NA,NA,NA,0.5502,0.0505,32,0.2181,0.9846,0,0.9981,0,Bayes-M10-med
Isangi,Tshopo,1,FALSE,0.0143,0.011,0.0179,0.0141,54,53,54,0.0144,1.4863,54,0.0245,NA,NA,NA,NA,NA,NA,0.3837,0.0347,42,0.4054,0.4073,0,0.722,0,Bayes-M10-med
Binza Meteo,Kinshasa,1,FALSE,0.0131,0.0102,0.0164,0.013,55,55,55,0.0132,1.3636,55,0.0225,NA,NA,NA,NA,NA,NA,0.2558,0.0213,58,0.0965,0.8996,0,0.027,0,Bayes-M10-med
Kikimi,Kinshasa,1,FALSE,0.0127,0.0099,0.0159,0.0126,56,56,57,0.0128,1.3246,56,0.0218,NA,NA,NA,NA,NA,NA,0.0835,0.0067,105,0.056,0.1911,0,0.0869,0,Bayes-M10-med
Birambizo,Nord-Kivu,1,FALSE,0.0127,0.0098,0.0159,0.0126,57,56,58,0.0128,1.3209,57,0.0218,NA,NA,0.2665,15,NA,NA,0.3625,0.0292,48,0.4035,0.89,0,0.1564,0,Bayes-M10-med
Matete,Kinshasa,1,FALSE,0.0126,0.0098,0.0158,0.0125,58,57,58,0.0127,1.3105,58,0.0216,NA,NA,NA,NA,NA,NA,0.0492,0.0039,140,0.0251,0.1158,0,0.056,0,Bayes-M10-med
Barumbu,Kinshasa,1,FALSE,0.0125,0.0097,0.0157,0.0124,59,59,59,0.0126,1.3052,59,0.0215,NA,NA,NA,NA,NA,NA,0.014,0.0011,303,0.0097,0.0232,0,0.0232,0,Bayes-M10-med
Kalehe,Sud-Kivu,1,FALSE,0.0123,0.0095,0.0154,0.0121,60,60,60,0.0123,1.2756,60,0.021,NA,NA,NA,NA,NA,NA,0.3369,0.0262,51,0.3417,0.8649,0,0.1409,0,Bayes-M10-med
Ruzizi,Sud-Kivu,1,FALSE,0.0121,0.0093,0.0152,0.012,61,61,62,0.0121,1.2564,61,0.0207,NA,NA,NA,NA,NA,NA,0.5627,0.0431,39,0.3494,0.9093,0,0.9923,0,Bayes-M10-med
Walungu,Sud-Kivu,1,FALSE,0.0119,0.0092,0.0149,0.0118,62,62,63,0.012,1.2378,62,0.0204,NA,NA,NA,NA,NA,NA,0.3248,0.0245,52,0.1853,0.8803,0,0.2336,0,Bayes-M10-med
Mont Ngafula 1,Kinshasa,1,FALSE,0.0108,0.0084,0.0135,0.0107,64,63,65,0.0109,1.1258,64,0.0186,NA,NA,NA,NA,NA,NA,0.2066,0.0142,71,0.1371,0.6313,0,0.0579,0,Bayes-M10-med
Walikale,Nord-Kivu,1,FALSE,0.0108,0.0084,0.0136,0.0108,64,63,64,0.0109,1.1277,63,0.0186,NA,NA,0.2275,16,NA,NA,0.5729,0.0394,41,0.9459,0.9286,0,0.417,0,Bayes-M10-med
Mont Ngafula 2,Kinshasa,1,FALSE,0.0106,0.0082,0.0132,0.0104,65,65,66,0.0106,1.097,65,0.0181,NA,NA,NA,NA,NA,NA,0.0951,0.0064,110,0.0849,0.2568,0,0.0386,0,Bayes-M10-med
Selembao,Kinshasa,1,FALSE,0.0105,0.0081,0.0131,0.0104,66,66,67,0.0106,1.0917,66,0.018,NA,NA,NA,NA,NA,NA,0.0676,0.0045,132,0.0444,0.1815,0,0.0444,0,Bayes-M10-med
Ndjili,Kinshasa,1,FALSE,0.0103,0.008,0.0129,0.0102,67,67,68,0.0103,1.0693,67,0.0176,NA,NA,NA,NA,NA,NA,0.0487,0.0032,160,0.027,0.1042,0,0.0637,0,Bayes-M10-med
Kingabwa,Kinshasa,1,FALSE,0.0102,0.0079,0.0128,0.0101,68,68,71,0.0102,1.0594,68,0.0175,NA,NA,NA,NA,NA,NA,0.0478,0.0031,166,0.0425,0.0965,0,0.0521,0,Bayes-M10-med
Ngiri Ngiri,Kinshasa,1,FALSE,0.0101,0.0078,0.0126,0.01,70,70,73,0.0101,1.0452,70,0.0172,NA,NA,NA,NA,NA,NA,0.028,0.0018,243,0.0154,0.0676,0,0.029,0,Bayes-M10-med
Nyantende,Sud-Kivu,1,FALSE,0.0101,0.0078,0.0127,0.01,69,69,70,0.0102,1.0526,69,0.0174,NA,NA,NA,NA,NA,NA,0.3219,0.0207,59,0.1486,0.8938,0,0.2452,0,Bayes-M10-med
Police,Kinshasa,1,FALSE,0.01,0.0077,0.0125,0.0099,72,71,74,0.01,1.0383,72,0.0171,NA,NA,NA,NA,NA,NA,0.0478,0.003,170,0.0463,0.0772,0,0.0676,0,Bayes-M10-med
Lubutu,Maniema,1,FALSE,0.01,0.0077,0.0125,0.0099,73,72,73,0.01,1.0365,73,0.0171,NA,NA,NA,NA,NA,NA,0.4706,0.0298,47,0.8205,0.2819,0,0.7799,0,Bayes-M10-med
Bagira,Sud-Kivu,1,FALSE,0.01,0.0077,0.0126,0.0099,71,70,73,0.0101,1.0414,71,0.0172,NA,NA,NA,NA,NA,NA,0.236,0.015,69,0.1004,0.6371,0,0.2066,0,Bayes-M10-med
Titule,Bas-Uele,1,FALSE,0.0099,0.0068,0.0138,0.0097,74,61,79,0.01,1.0327,74,0.017,NA,NA,NA,NA,NA,NA,0.6839,0.0431,40,0.9865,0.8263,0,0.9228,0,Bayes-M10-med
Nyemba,Tanganyika,1,FALSE,0.0098,0.0076,0.0123,0.0097,75,74,75,0.0098,1.0173,75,0.0168,NA,NA,NA,NA,NA,NA,0.3456,0.0215,56,0.5965,0.4556,0,0.3301,0,Bayes-M10-med
Fizi,Sud-Kivu,1,FALSE,0.0091,0.007,0.0115,0.009,76,75,76,0.0092,0.948,76,0.0157,NA,NA,NA,NA,NA,NA,0.5637,0.0326,45,0.7432,0.9691,0,0.5425,0,Bayes-M10-med
Yabaondo,Tshopo,1,FALSE,0.0081,0.0062,0.0101,0.008,77,76,77,0.0081,0.8381,77,0.0138,NA,NA,NA,NA,NA,NA,0.3523,0.018,60,0.4363,0.305,0,0.668,0,Bayes-M10-med
Lemera,Sud-Kivu,1,FALSE,0.008,0.0062,0.0101,0.0079,78,77,78,0.008,0.8308,78,0.0137,NA,NA,NA,NA,NA,NA,0.5613,0.0285,49,0.3629,0.9015,0,0.9807,0,Bayes-M10-med
Maluku 1,Kinshasa,1,FALSE,0.0079,0.0061,0.0098,0.0078,79,78,79,0.0079,0.8161,79,0.0135,NA,NA,NA,NA,NA,NA,0.2321,0.0116,78,0.3475,0.4517,0,0.1293,0,Bayes-M10-med
Kingasani,Kinshasa,1,FALSE,0.0077,0.0059,0.0096,0.0076,81,80,82,0.0077,0.7956,82,0.0131,NA,NA,NA,NA,NA,NA,0.0294,0.0014,268,0.0058,0.0405,0,0.0714,0,Bayes-M10-med
Pinga,Nord-Kivu,1,FALSE,0.0077,0.006,0.0097,0.0076,80,80,80,0.0077,0.8013,80,0.0132,NA,NA,0.1617,17,NA,NA,0.57,0.0279,50,0.9595,0.7548,0,0.5656,0,Bayes-M10-med
Mubumbano,Sud-Kivu,1,FALSE,0.0077,0.0059,0.0096,0.0076,82,81,82,0.0077,0.796,81,0.0132,NA,NA,NA,NA,NA,NA,0.3658,0.0178,61,0.2683,0.9402,0,0.2548,0,Bayes-M10-med
Nyangezi,Sud-Kivu,1,FALSE,0.0073,0.0056,0.0091,0.0072,83,83,84,0.0073,0.7535,83,0.0125,NA,NA,NA,NA,NA,NA,0.36870000000000003,0.017,65,0.222,0.8842,0,0.36870000000000003,0,Bayes-M10-med
Ubundu,Tshopo,1,FALSE,0.0071,0.0055,0.009,0.0071,84,83,84,0.0072,0.7408,84,0.0122,NA,NA,NA,NA,NA,NA,0.4744,0.0215,55,0.9054,0.4305,0,0.5618,0,Bayes-M10-med
Basoko,Tshopo,1,FALSE,0.0067,0.0052,0.0084,0.0066,85,85,85,0.0067,0.6957,85,0.0115,NA,NA,NA,NA,NA,NA,0.3012,0.0128,76,0.5077,0.3147,0,0.3822,0,Bayes-M10-med
Kindu,Maniema,1,FALSE,0.0063,0.0049,0.0079,0.0062,86,86,87,0.0063,0.6525,87,0.0108,NA,NA,NA,NA,NA,NA,0.3181,0.0127,77,0.1351,0.2529,0,0.8842,0,Bayes-M10-med
Mwana,Sud-Kivu,1,FALSE,0.0063,0.0049,0.0079,0.0062,87,86,87,0.0063,0.6528,86,0.0108,NA,NA,NA,NA,NA,NA,0.3731,0.0149,70,0.2896,0.9035,0,0.2992,0,Bayes-M10-med
Kaniola,Sud-Kivu,1,FALSE,0.0062,0.0048,0.0078,0.0061,88,88,88,0.0062,0.6394,88,0.0106,NA,NA,NA,NA,NA,NA,0.4513,0.0177,62,0.5328,0.9305,0,0.3417,0,Bayes-M10-med
Bunyakiri,Sud-Kivu,1,FALSE,0.006,0.0046,0.0075,0.0059,89,89,90,0.006,0.6203,89,0.0103,NA,NA,NA,NA,NA,NA,0.4517,0.0171,64,0.6197,0.832,0,0.3552,0,Bayes-M10-med
Lubumbashi,Haut-Katanga,1,FALSE,0.0059,0.0046,0.0074,0.0059,90,90,91,0.0059,0.613,90,0.0101,NA,NA,NA,NA,NA,NA,0.1105,0.0041,135,0.1081,0.2104,0,0.1236,0,Bayes-M10-med
Opienge,Tshopo,1,FALSE,0.0055,0.0041,0.0071,0.0054,91,90,97,0.0055,0.57,91,0.0094,NA,NA,NA,NA,NA,NA,0.4445,0.0155,67,0.9556,0.0135,0,0.8089,0,Bayes-M10-med
Yaleko,Tshopo,1,FALSE,0.0055,0.0042,0.0069,0.0054,92,91,93,0.0055,0.5686,92,0.0094,NA,NA,NA,NA,NA,NA,0.402,0.014,72,0.639,0.2452,0,0.7239,0,Bayes-M10-med
Doruma,Haut-Uele,1,FALSE,0.0054,0.0041,0.007,0.0054,93,92,96,0.0055,0.5639,93,0.0093,NA,NA,NA,NA,0.0549,7,0.6216,0.0215,57,0.973,0.5135,0,1,0,Bayes-M10-med
Kalemie,Tanganyika,1,FALSE,0.0054,0.0042,0.0068,0.0053,94,92,94,0.0054,0.5598,94,0.0093,NA,NA,NA,NA,NA,NA,0.3789,0.013,75,0.6718,0.4575,0,0.3861,0,Bayes-M10-med
Makala,Kinshasa,1,FALSE,0.0052,0.004,0.0065,0.0051,96,93,96,0.0052,0.5367,96,0.0089,NA,NA,NA,NA,NA,NA,0.0246,8e-4,351,0.0116,0.0386,0,0.0483,0,Bayes-M10-med
Kasongo,Maniema,1,FALSE,0.0052,0.004,0.0066,0.0052,95,94,96,0.0052,0.5426,95,0.009,NA,NA,NA,NA,NA,NA,0.5304,0.0176,63,0.4459,0.7529,0,0.9228,0,Bayes-M10-med
Kalamu 2,Kinshasa,1,FALSE,0.0051,0.0039,0.0063,0.005,97,95,97,0.0051,0.5245,97,0.0087,NA,NA,NA,NA,NA,NA,0.015,5e-4,405,0.0039,0.0154,0,0.0405,0,Bayes-M10-med
Kibua,Nord-Kivu,1,FALSE,0.0041,0.0031,0.0051,0.004,98,98,99,0.0041,0.4202,98,0.007,NA,NA,0.0848,18,NA,NA,0.5154,0.0133,74,0.7741,0.6602,0,0.6274,0,Bayes-M10-med
Nundu,Sud-Kivu,1,FALSE,0.004,0.0031,0.005,0.004,99,99,100,0.004,0.4147,99,0.0069,NA,NA,NA,NA,NA,NA,0.5927,0.0151,68,0.527,0.8494,0,0.9942,0,Bayes-M10-med
Aketi,Bas-Uele,1,FALSE,0.0039,0.0026,0.0055,0.0038,100,98,110,0.0039,0.4069,100,0.0067,NA,NA,NA,NA,NA,NA,0.6762,0.0169,66,0.9903,0.9363,0,0.778,0,Bayes-M10-med
Lisala,Mongala,1,FALSE,0.0039,0.003,0.0049,0.0038,101,100,101,0.0039,0.4009,101,0.0066,NA,NA,NA,NA,NA,NA,0.4093,0.0101,84,0.4286,0.4402,0,0.7683,0,Bayes-M10-med
Kunda,Maniema,1,FALSE,0.0037,0.0029,0.0047,0.0037,102,101,102,0.0038,0.3879,102,0.0064,NA,NA,NA,NA,NA,NA,0.4165,0.0099,86,0.4633,0.2799,0,0.9228,0,Bayes-M10-med
Kalonge,Sud-Kivu,1,FALSE,0.0037,0.0029,0.0047,0.0037,103,101,103,0.0037,0.3868,103,0.0064,NA,NA,NA,NA,NA,NA,0.404,0.0096,89,0.4961,0.8359,0,0.2838,0,Bayes-M10-med
Mumbunda,Haut-Katanga,1,FALSE,0.0034,0.0026,0.0043,0.0034,106,104,106,0.0034,0.3515,106,0.0058,NA,NA,NA,NA,NA,NA,0.1853,0.004,138,0.1197,0.5077,0,0.1139,0,Bayes-M10-med
Manika,Lualaba,1,FALSE,0.0034,0.0027,0.0043,0.0034,104,103,104,0.0035,0.3573,104,0.0059,NA,NA,NA,NA,NA,NA,0.1149,0.0025,192,0.0946,0.222,0,0.1429,0,Bayes-M10-med
Djolu,Tshuapa,1,FALSE,0.0034,0.0026,0.0043,0.0034,105,104,106,0.0034,0.3523,105,0.0058,NA,NA,NA,NA,NA,NA,0.5256,0.0113,80,0.7104,0.5985,0,0.7934,0,Bayes-M10-med
Yahuma,Tshopo,1,FALSE,0.0033,0.0025,0.0041,0.0033,107,106,107,0.0033,0.3413,107,0.0057,NA,NA,NA,NA,NA,NA,0.4402,0.0092,91,0.8649,0.332,0,0.5637,0,Bayes-M10-med
Saramabila,Maniema,1,FALSE,0.0032,0.0025,0.0041,0.0032,108,107,108,0.0032,0.3356,108,0.0056,NA,NA,NA,NA,NA,NA,0.4768,0.0098,88,0.473,0.5502,0,0.8842,0,Bayes-M10-med
Yamaluka,Mongala,1,FALSE,0.0032,0.0025,0.004,0.0032,109,108,110,0.0032,0.3304,109,0.0055,NA,NA,NA,NA,NA,NA,0.1974,0.004,137,0.2799,0.1448,0,0.3649,0,Bayes-M10-med
Kongolo,Tanganyika,1,FALSE,0.0032,0.0024,0.004,0.0031,110,109,110,0.0032,0.3273,110,0.0054,NA,NA,NA,NA,NA,NA,0.6829,0.0137,73,0.8861,0.9228,0,0.9228,0,Bayes-M10-med
Kisenso,Kinshasa,1,FALSE,0.003,0.0023,0.0037,0.0029,114,113,116,0.003,0.306,114,0.0051,NA,NA,NA,NA,NA,NA,0.0589,0.0011,306,0.0367,0.139,0,0.0598,0,Bayes-M10-med
Kabinda,Lomami,1,FALSE,0.003,0.0023,0.0038,0.003,111,111,111,0.003,0.3148,111,0.0052,NA,NA,NA,NA,NA,NA,0.4382,0.0085,96,0.5097,0.5541,0,0.6892,0,Bayes-M10-med
