health_zone,province,horizon,was_active_before,p_case_invasion,p_case_lo,p_case_hi,p_median,rank_med,rank_lo,rank_hi,mu_forecast,rr_nat,rr_nat_rank,rr01_nat,rr_ituri,rr_ituri_rank,rr_nordkivu,rr_nordkivu_rank,rr_hautuele,rr_hautuele_rank,V,priority,priority_rank,surveillance_gap,healthcare_gap,access_gap,social_vulnerability,healthcare_travel_min,method
Rethy,Ituri,1,FALSE,0.5829,0.4911,0.6732,0.5822,1,1,1,0.8831,91.3266,1,1,4.7151,1,NA,NA,NA,NA,0.2703,1,1,0.2143,0.6081,0,0.2587,0,Bayes-M10-med
Watsa,Haut-Uele,1,FALSE,0.264,0.208,0.326,0.2622,2,2,2,0.3077,31.8232,2,0.453,NA,NA,NA,NA,3.0996,1,0.4797,0.804,2,0.7297,0.8436,0,0.3456,0,Bayes-M10-med
Nyarambe,Ituri,1,FALSE,0.1648,0.1304,0.2015,0.1638,3,3,4,0.1804,18.6611,3,0.2828,0.9635,2,NA,NA,NA,NA,0.1805,0.1889,11,0.1699,0.4595,0,0.0927,0,Bayes-M10-med
Kayna,Nord-Kivu,1,FALSE,0.1632,0.1289,0.2007,0.1622,4,3,4,0.1785,18.4643,4,0.2801,NA,NA,3.7252,1,NA,NA,0.3113,0.3226,6,0.2278,0.6332,0,0.3842,0,Bayes-M10-med
Biringi,Ituri,1,FALSE,0.1263,0.0992,0.156,0.1253,5,5,5,0.1352,13.9835,5,0.2167,0.722,3,NA,NA,NA,NA,0.3494,0.2801,7,0.3958,0.4865,0,0.5154,0,Bayes-M10-med
Dungu,Haut-Uele,1,FALSE,0.1135,0.0876,0.1426,0.1124,6,6,6,0.1206,12.4763,6,0.1947,NA,NA,NA,NA,1.2152,2,0.5275,0.38,4,0.8726,0.5598,0,0.6776,0,Bayes-M10-med
Makoro,Haut-Uele,1,FALSE,0.099,0.077,0.1233,0.0981,7,7,8,0.1044,10.7926,7,0.1698,NA,NA,NA,NA,1.0512,3,0.3822,0.2402,8,0.556,0.5483,0,0.4247,0,Bayes-M10-med
Poko,Bas-Uele,1,FALSE,0.096,0.07,0.1264,0.0946,8,7,12,0.1011,10.458,8,0.1647,NA,NA,NA,NA,NA,NA,0.7271,0.4431,3,0.9923,0.9517,0,0.9643,0,Bayes-M10-med
Niangara,Haut-Uele,1,FALSE,0.0932,0.0714,0.118,0.0921,9,8,9,0.0979,10.125,9,0.1598,NA,NA,NA,NA,0.9862,4,0.5512,0.3259,5,0.8031,0.4324,0,0.9691,0,Bayes-M10-med
Rutshuru,Nord-Kivu,1,FALSE,0.0894,0.0699,0.111,0.0888,10,8,10,0.0938,9.6962,10,0.1534,NA,NA,1.9562,2,NA,NA,0.3721,0.2112,9,0.4093,0.9942,0,0.0849,0,Bayes-M10-med
