model,term,is_intercept,effect_scale,hr,lo,hi,p_dir,rhat
Bayes-M4-med,Intercept,TRUE,hazard ratio,0.0485998406453101,0.03768983074507739,0.06180610703981541,NA,1.0011808191764686
Bayes-M8-med,Intercept,TRUE,hazard ratio,0.07615198504960811,0.06027169758014407,0.09590395307000908,NA,1.007901327890845
Bayes-M10-med,Intercept,TRUE,hazard ratio,0.1319259708740491,0.1031882669718668,0.16647555610376344,NA,1.005326906452195
Bayes-M17-med,Intercept,TRUE,hazard ratio,0.10536611336101015,0.0817004037618028,0.13427259831715008,NA,1.0022406878703167
Bayes-M17-geo,Intercept,TRUE,hazard ratio,0.05465267576924113,0.02637738296246985,0.10003045623278166,NA,1.0009248790139562
Bayes-M17-geo,log_pop,FALSE,hazard ratio,0.7223276070651243,0.5581431048889767,0.9261062571583651,0.015,1.0009248790139562
Bayes-M17-geo,ccvi,FALSE,hazard ratio,1.69410022869071,1.2066466269500447,2.4975248846430085,0.998,1.0009248790139562
Bayes-M17-geo,d_min,FALSE,hazard ratio,0.6638901204307754,0.4879330931506328,0.877076936517974,0.005,1.0009248790139562
Bayes-M17-dist-med,Intercept,TRUE,hazard ratio,0.10695512244692962,0.08292965504932462,0.13553385629435147,NA,1.0019354807453318
Bayes-M17-dist-geo,Intercept,TRUE,hazard ratio,0.07479338374790678,0.03766651560863827,0.12900013679267808,NA,1.0098241528302774
Bayes-M17-dist-geo,log_pop,FALSE,hazard ratio,0.7552129732386732,0.5929989744642336,0.9770910507353062,0.0385,1.0098241528302774
Bayes-M17-dist-geo,ccvi,FALSE,hazard ratio,1.659908058938338,1.182982741693257,2.4174466987166316,0.9945,1.0098241528302774
Bayes-M17-dist-geo,d_min,FALSE,hazard ratio,0.7884043746187221,0.5800817900856144,1.0066279139272727,0.058,1.0098241528302774
Bayes-M8-geo,Intercept,TRUE,hazard ratio,0.03753053365855239,0.019615114018227985,0.06420201796917323,NA,1.0006074284584336
Bayes-M8-geo,log_pop,FALSE,hazard ratio,0.6710056144684733,0.5290657312415376,0.8580536821932865,0.004,1.0006074284584336
Bayes-M8-geo,ccvi,FALSE,hazard ratio,1.703943200009686,1.1959913967306057,2.4077355374961606,0.995,1.0006074284584336
Bayes-M8-geo,d_min,FALSE,hazard ratio,0.638389700522044,0.4761923187302145,0.8206016576748741,0,1.0006074284584336
Bayes-M4-geo,Intercept,TRUE,hazard ratio,0.022189475788916592,0.011986783301146678,0.0391173129417596,NA,1.003840731821087
Bayes-M4-geo,log_pop,FALSE,hazard ratio,0.6165016027201243,0.47840767727354566,0.8084802982162509,0.002,1.003840731821087
Bayes-M4-geo,ccvi,FALSE,hazard ratio,1.5293885705424317,1.0487471077553991,2.318912218315455,0.967,1.003840731821087
Bayes-M4-geo,d_min,FALSE,hazard ratio,0.6216562245812611,0.46879610769873936,0.8116957392723858,0.0015,1.003840731821087
Bayes-M10-geo,Intercept,TRUE,hazard ratio,0.09078024834633407,0.04631732227599116,0.16329067418701562,NA,1.0021457931810311
Bayes-M10-geo,log_pop,FALSE,hazard ratio,0.7616977885079272,0.5825961349878239,0.999290082924784,0.05,1.0021457931810311
Bayes-M10-geo,ccvi,FALSE,hazard ratio,1.699931720729893,1.2162611665423897,2.4573371356777107,0.9995,1.0021457931810311
Bayes-M10-geo,d_min,FALSE,hazard ratio,0.7674855064804033,0.5719430215378092,1.0075742061950566,0.0575,1.0021457931810311
Bayes-M4-dist,Intercept,TRUE,hazard ratio,0.06791521804444879,0.05363567203297858,0.08560647567995477,NA,0.9997903813537993
Bayes-M4-dist-geo,Intercept,TRUE,hazard ratio,0.046308238842972804,0.02369323468383436,0.0818893311625739,NA,1.0108478739331668
Bayes-M4-dist-geo,log_pop,FALSE,hazard ratio,0.6747338962583734,0.5207862649798334,0.8784413492567178,0.009,1.0108478739331668
Bayes-M4-dist-geo,ccvi,FALSE,hazard ratio,1.2689202225509448,0.8302449403521784,2.0353329773156963,0.826,1.0108478739331668
Bayes-M4-dist-geo,d_min,FALSE,hazard ratio,0.7922326350788537,0.5951460534886227,1.0351943513511899,0.077,1.0108478739331668
Bayes-M8-dist,Intercept,TRUE,hazard ratio,0.0936167285631821,0.07323091485953774,0.11843423073505704,NA,1.002945101894689
Bayes-M8-dist-geo,Intercept,TRUE,hazard ratio,0.05477942472646867,0.028990072001216373,0.09954385003197587,NA,1.003475622386813
Bayes-M8-dist-geo,log_pop,FALSE,hazard ratio,0.7494776143463686,0.5882635618233494,0.9690748385611516,0.034,1.003475622386813
Bayes-M8-dist-geo,ccvi,FALSE,hazard ratio,1.6407439537568433,1.1612594002003203,2.458122088844029,0.993,1.003475622386813
Bayes-M8-dist-geo,d_min,FALSE,hazard ratio,0.7163189469841136,0.5369469742155588,0.9266431321400801,0.017,1.003475622386813
Bayes-M10-dist,Intercept,TRUE,hazard ratio,0.11223174993584481,0.08752839065520257,0.14070705204430428,NA,1.0004797971337702
Bayes-M10-dist-geo,Intercept,TRUE,hazard ratio,0.10766989111059719,0.05490024789923523,0.18468728318323782,NA,1.0027852703280762
Bayes-M10-dist-geo,log_pop,FALSE,hazard ratio,0.7859166240612568,0.608050292235073,1.0422662941661303,0.0925,1.0027852703280762
Bayes-M10-dist-geo,ccvi,FALSE,hazard ratio,1.7550668416588948,1.2507380354492263,2.6411138538174357,0.9995,1.0027852703280762
Bayes-M10-dist-geo,d_min,FALSE,hazard ratio,0.9123675964071036,0.6916419574346385,1.1643199801390574,0.281,1.0027852703280762
