model,term,is_intercept,effect_scale,hr,lo,hi,p_dir,rhat
Bayes-M4-med,Intercept,TRUE,hazard ratio,0.03887068752115135,0.03101032520000916,0.0476567934151713,NA,1.0046207137667063
Bayes-M8-med,Intercept,TRUE,hazard ratio,0.05599951501184722,0.044125408576312156,0.06948444428980169,NA,1.000449599569896
Bayes-M10-med,Intercept,TRUE,hazard ratio,0.10771388825264663,0.08636108917995376,0.13407959070517073,NA,1.000054739234251
Bayes-M17-med,Intercept,TRUE,hazard ratio,0.08221315039351297,0.06586915281936939,0.10196802521268394,NA,1.0000760255261147
Bayes-M17-geo,Intercept,TRUE,hazard ratio,0.04327880223127057,0.023789505886143848,0.07207483630179295,NA,1.0031913439269609
Bayes-M17-geo,log_pop,FALSE,hazard ratio,0.6773182614971374,0.5355882900490042,0.8635012176907736,0.0035,1.0031913439269609
Bayes-M17-geo,ccvi,FALSE,hazard ratio,1.8238410063508406,1.3315422996508206,2.5671412199344736,1,1.0031913439269609
Bayes-M17-geo,d_min,FALSE,hazard ratio,0.6618614865363224,0.4994233031564141,0.8458388805037046,0.003,1.0031913439269609
Bayes-M17-dist-med,Intercept,TRUE,hazard ratio,0.08231114516899204,0.06594763619712536,0.10208964254677265,NA,1.0000757008827736
Bayes-M17-dist-geo,Intercept,TRUE,hazard ratio,0.06483523329010633,0.03590865731117172,0.10748732038082423,NA,1.0008493039594835
Bayes-M17-dist-geo,log_pop,FALSE,hazard ratio,0.7192087794554618,0.5743514586890365,0.922994549005101,0.019,1.0008493039594835
Bayes-M17-dist-geo,ccvi,FALSE,hazard ratio,1.819580642222809,1.3370439379752854,2.6432579228494544,1,1.0008493039594835
Bayes-M17-dist-geo,d_min,FALSE,hazard ratio,0.8337527201547551,0.6411907925747322,1.0542546433411384,0.1055,1.0008493039594835
Bayes-M8-geo,Intercept,TRUE,hazard ratio,0.026913180322532614,0.015217662672065277,0.04339477182370062,NA,1.0009471341710332
Bayes-M8-geo,log_pop,FALSE,hazard ratio,0.6352251474956642,0.4973563185935113,0.821814968242208,0.002,1.0009471341710332
Bayes-M8-geo,ccvi,FALSE,hazard ratio,1.8435127077337925,1.3419055181165669,2.614848397732964,1,1.0009471341710332
Bayes-M8-geo,d_min,FALSE,hazard ratio,0.6189323393949085,0.4749834285645253,0.7694991856891799,0,1.0009471341710332
Bayes-M4-geo,Intercept,TRUE,hazard ratio,0.018064746857178206,0.009737704028729754,0.03016274031936947,NA,1.0038342745668316
Bayes-M4-geo,log_pop,FALSE,hazard ratio,0.6117314507842202,0.4844603440601402,0.7614534066696532,5e-4,1.0038342745668316
Bayes-M4-geo,ccvi,FALSE,hazard ratio,1.7729721032981232,1.243684797104561,2.5993397988722506,0.995,1.0038342745668316
Bayes-M4-geo,d_min,FALSE,hazard ratio,0.6157727461448381,0.46492904499229026,0.7858695661976076,0,1.0038342745668316
Bayes-M10-geo,Intercept,TRUE,hazard ratio,0.08238336944622851,0.04658924166477672,0.13754153505472846,NA,1.0059281700135008
Bayes-M10-geo,log_pop,FALSE,hazard ratio,0.705890643747134,0.569083635127684,0.8994470579718021,0.009,1.0059281700135008
Bayes-M10-geo,ccvi,FALSE,hazard ratio,1.8546315637016755,1.376590941387475,2.5626642300753817,1,1.0059281700135008
Bayes-M10-geo,d_min,FALSE,hazard ratio,0.8014330406612442,0.622171649349947,1.020256172911575,0.066,1.0059281700135008
Bayes-M4-dist,Intercept,TRUE,hazard ratio,0.056236661308773805,0.045342764554299614,0.07026743392295443,NA,1.000621113239841
Bayes-M4-dist-geo,Intercept,TRUE,hazard ratio,0.03798791486070341,0.021289805031327016,0.06456002816576124,NA,1.001642238601488
Bayes-M4-dist-geo,log_pop,FALSE,hazard ratio,0.6826773464313386,0.5418777195038973,0.8676162187096252,0.0045,1.001642238601488
Bayes-M4-dist-geo,ccvi,FALSE,hazard ratio,1.5144632705608139,1.003286476642939,2.2361479802168747,0.951,1.001642238601488
Bayes-M4-dist-geo,d_min,FALSE,hazard ratio,0.7859590599620874,0.6091151542858386,1.0168807605787442,0.061,1.001642238601488
Bayes-M8-dist,Intercept,TRUE,hazard ratio,0.07281008795880976,0.058165941199652856,0.08957983779845456,NA,1.0015366555698475
Bayes-M8-dist-geo,Intercept,TRUE,hazard ratio,0.043971154226775014,0.024633401098142393,0.0711744980766033,NA,1.0053840766580453
Bayes-M8-dist-geo,log_pop,FALSE,hazard ratio,0.7195391282447501,0.5701612989567633,0.9219908511753891,0.017,1.0053840766580453
Bayes-M8-dist-geo,ccvi,FALSE,hazard ratio,1.8206938698921942,1.2956831961527542,2.6155157405124347,0.999,1.0053840766580453
Bayes-M8-dist-geo,d_min,FALSE,hazard ratio,0.7194437121017888,0.5587026344753387,0.9066183090266958,0.011,1.0053840766580453
Bayes-M10-dist,Intercept,TRUE,hazard ratio,0.08333295577840905,0.06702419676422772,0.10196058469489286,NA,1.00175825860641
Bayes-M10-dist-geo,Intercept,TRUE,hazard ratio,0.10055656244142966,0.058038412962863835,0.1637815617073546,NA,1.005667971844886
Bayes-M10-dist-geo,log_pop,FALSE,hazard ratio,0.7378541148900407,0.5817918270357947,0.9581006585306021,0.028,1.005667971844886
Bayes-M10-dist-geo,ccvi,FALSE,hazard ratio,1.950402108330793,1.4207035717220768,2.871595592411522,1,1.005667971844886
Bayes-M10-dist-geo,d_min,FALSE,hazard ratio,1.0166320351469733,0.8014254423280942,1.2621324767832167,0.5545,1.005667971844886
