model,term,is_intercept,effect_scale,hr,lo,hi,p_dir,rhat
Bayes-M4-med,Intercept,TRUE,hazard ratio,0.05637233023705703,0.0439092109469112,0.06992319791145335,NA,1.00771174573544
Bayes-M8-med,Intercept,TRUE,hazard ratio,0.0904892160816117,0.07045224321681932,0.11251600508888068,NA,1.011727700718176
Bayes-M10-med,Intercept,TRUE,hazard ratio,0.15319301784391604,0.11924829822865127,0.19208505884539417,NA,1.0025673806773798
Bayes-M17-med,Intercept,TRUE,hazard ratio,0.12246778074164745,0.09660121504614667,0.1538019491145145,NA,1.0048508838841999
Bayes-M17-geo,Intercept,TRUE,hazard ratio,0.06368749570888953,0.03399127092037354,0.11157739593831985,NA,1.001371997751131
Bayes-M17-geo,log_pop,FALSE,hazard ratio,0.7384414233214506,0.5739645162829794,0.9596378452207404,0.0265,1.001371997751131
Bayes-M17-geo,ccvi,FALSE,hazard ratio,1.6633990014880515,1.1765963687836607,2.3662121912629006,0.9935,1.001371997751131
Bayes-M17-geo,d_min,FALSE,hazard ratio,0.6667606354065723,0.4996910280375121,0.86483799314398,0.003,1.001371997751131
Bayes-M17-dist-med,Intercept,TRUE,hazard ratio,0.12492091149573675,0.09935989674484044,0.15639830320541726,NA,1.0089395569062187
Bayes-M17-dist-geo,Intercept,TRUE,hazard ratio,0.08318976249435198,0.04419811286756493,0.14634943038733972,NA,1.0020897578169785
Bayes-M17-dist-geo,log_pop,FALSE,hazard ratio,0.795093760088825,0.6193790386375932,1.0138163038237449,0.062,1.0020897578169785
Bayes-M17-dist-geo,ccvi,FALSE,hazard ratio,1.6206404570916226,1.1656462728836332,2.342006085248037,0.99,1.0020897578169785
Bayes-M17-dist-geo,d_min,FALSE,hazard ratio,0.7665599355767919,0.5798018517238376,0.9851659155715932,0.038,1.0020897578169785
Bayes-M8-geo,Intercept,TRUE,hazard ratio,0.04251975659676042,0.02233417043664297,0.07225615612951117,NA,1.00411480706823
Bayes-M8-geo,log_pop,FALSE,hazard ratio,0.6903910396602837,0.5428609011217342,0.8866426455635086,0.005,1.00411480706823
Bayes-M8-geo,ccvi,FALSE,hazard ratio,1.645500855733717,1.2008457152861505,2.405713238829157,0.9955,1.00411480706823
Bayes-M8-geo,d_min,FALSE,hazard ratio,0.6270144706251162,0.4787905120225527,0.8028772009948082,0.001,1.00411480706823
Bayes-M4-geo,Intercept,TRUE,hazard ratio,0.02558909486973909,0.012896178052966245,0.04564636354012913,NA,1.003115270696775
Bayes-M4-geo,log_pop,FALSE,hazard ratio,0.6383242081078143,0.49768219162556315,0.8193548370638827,0.0015,1.003115270696775
Bayes-M4-geo,ccvi,FALSE,hazard ratio,1.4988986143427905,1.0228629403623715,2.333556233264339,0.963,1.003115270696775
Bayes-M4-geo,d_min,FALSE,hazard ratio,0.621730618270263,0.4606563400316568,0.803646041803715,0.0015,1.003115270696775
Bayes-M10-geo,Intercept,TRUE,hazard ratio,0.10442804215737184,0.055223243930387744,0.18311130582752155,NA,1.0039663468636202
Bayes-M10-geo,log_pop,FALSE,hazard ratio,0.791636990302838,0.6147824239295613,1.0327241098937578,0.0685,1.0039663468636202
Bayes-M10-geo,ccvi,FALSE,hazard ratio,1.6680177730151502,1.1995496571215352,2.4168069383683406,0.9985,1.0039663468636202
Bayes-M10-geo,d_min,FALSE,hazard ratio,0.7663192161129699,0.5845853578820778,0.9843741988885859,0.0385,1.0039663468636202
Bayes-M4-dist,Intercept,TRUE,hazard ratio,0.0795408788072943,0.062413193057943066,0.09782126541218106,NA,1.0029905087508222
Bayes-M4-dist-geo,Intercept,TRUE,hazard ratio,0.049740270497222766,0.02519155503894533,0.0891122098333679,NA,1.007156525635031
Bayes-M4-dist-geo,log_pop,FALSE,hazard ratio,0.7074352310028125,0.5484069091990906,0.9168944948461957,0.01,1.007156525635031
Bayes-M4-dist-geo,ccvi,FALSE,hazard ratio,1.27170131078286,0.8543403625457967,1.8990465418481361,0.826,1.007156525635031
Bayes-M4-dist-geo,d_min,FALSE,hazard ratio,0.7690609868216733,0.565980463176321,1.0041317289698342,0.053,1.007156525635031
Bayes-M8-dist,Intercept,TRUE,hazard ratio,0.10955938501753901,0.08473560895970444,0.13690148563794177,NA,1.0004541311911985
Bayes-M8-dist-geo,Intercept,TRUE,hazard ratio,0.059420825978351605,0.030684271293328114,0.10058569140342413,NA,1.0084615201089848
Bayes-M8-dist-geo,log_pop,FALSE,hazard ratio,0.7780991522831661,0.6149128638394089,1.0172585865408126,0.0615,1.0084615201089848
Bayes-M8-dist-geo,ccvi,FALSE,hazard ratio,1.6324130492592586,1.1710251569312886,2.3864609923436277,0.9895,1.0084615201089848
Bayes-M8-dist-geo,d_min,FALSE,hazard ratio,0.6895528485838344,0.5152292134584733,0.8853427348188279,0.0055,1.0084615201089848
Bayes-M10-dist,Intercept,TRUE,hazard ratio,0.13146783615730745,0.10260697330560802,0.1652435769576928,NA,1.0025264043043267
Bayes-M10-dist-geo,Intercept,TRUE,hazard ratio,0.11836489611530766,0.061936114500885646,0.1999413881624587,NA,1.0051147052434164
Bayes-M10-dist-geo,log_pop,FALSE,hazard ratio,0.8245450082179313,0.6308197496972917,1.0807866998473168,0.1205,1.0051147052434164
Bayes-M10-dist-geo,ccvi,FALSE,hazard ratio,1.6880750469937227,1.2558038026594385,2.441760807327596,0.999,1.0051147052434164
Bayes-M10-dist-geo,d_min,FALSE,hazard ratio,0.8809996211770921,0.6769516409383656,1.1085122976440094,0.197,1.0051147052434164
