model,term,is_intercept,effect_scale,hr,lo,hi,p_dir,rhat
Bayes-M4-med,Intercept,TRUE,hazard ratio,0.03681168342016871,0.028357129051446415,0.04636712633618669,NA,1.0062543901124388
Bayes-M8-med,Intercept,TRUE,hazard ratio,0.05385195625468933,0.042000383714178115,0.06743639603845036,NA,1.0029065987601447
Bayes-M10-med,Intercept,TRUE,hazard ratio,0.1002738586131526,0.07978148157116306,0.1266167519384225,NA,1.0067698834002614
Bayes-M17-med,Intercept,TRUE,hazard ratio,0.077363893729152,0.062239291036152736,0.09759790997333605,NA,1.0016107947982056
Bayes-M17-geo,Intercept,TRUE,hazard ratio,0.04583832268525087,0.025351951224788095,0.07730792866747686,NA,1.003515785123198
Bayes-M17-geo,log_pop,FALSE,hazard ratio,0.6728194064793791,0.5346312880059242,0.8728701844240975,0.0055,1.003515785123198
Bayes-M17-geo,ccvi,FALSE,hazard ratio,1.798830783112575,1.284095756312329,2.620521594070397,0.9985,1.003515785123198
Bayes-M17-geo,d_min,FALSE,hazard ratio,0.7018041276036338,0.5321556480687727,0.8947842153466327,0.0085,1.003515785123198
Bayes-M17-dist-med,Intercept,TRUE,hazard ratio,0.07796725486084663,0.06145431598341874,0.09795307750560749,NA,1.0007417105624687
Bayes-M17-dist-geo,Intercept,TRUE,hazard ratio,0.06797617519736329,0.03598149049307709,0.11369964379507086,NA,1.0012552709361158
Bayes-M17-dist-geo,log_pop,FALSE,hazard ratio,0.7232825000748526,0.5663483785961613,0.9429622083209248,0.021,1.0012552709361158
Bayes-M17-dist-geo,ccvi,FALSE,hazard ratio,1.7946895271070054,1.2945547338612884,2.6338415175767773,0.9995,1.0012552709361158
Bayes-M17-dist-geo,d_min,FALSE,hazard ratio,0.8725091821779765,0.667264264290571,1.10378278053339,0.1735,1.0012552709361158
Bayes-M8-geo,Intercept,TRUE,hazard ratio,0.028196559436233122,0.015945345162738742,0.04609461604743447,NA,1.0020581467796477
Bayes-M8-geo,log_pop,FALSE,hazard ratio,0.6378902676233739,0.5013343302682406,0.8105462974911691,0.002,1.0020581467796477
Bayes-M8-geo,ccvi,FALSE,hazard ratio,1.799733918190492,1.3153665107859183,2.6814264227366023,0.999,1.0020581467796477
Bayes-M8-geo,d_min,FALSE,hazard ratio,0.6510162595621413,0.4961658754713635,0.8170722572678247,0.001,1.0020581467796477
Bayes-M4-geo,Intercept,TRUE,hazard ratio,0.01933454868424262,0.010293402332349667,0.03168907494454401,NA,1.0048662425036528
Bayes-M4-geo,log_pop,FALSE,hazard ratio,0.6105111206323021,0.48313365427961524,0.7672990257249067,0,1.0048662425036528
Bayes-M4-geo,ccvi,FALSE,hazard ratio,1.712170734405447,1.1720943205066705,2.525263583562673,0.991,1.0048662425036528
Bayes-M4-geo,d_min,FALSE,hazard ratio,0.6564168047073805,0.4925593093620255,0.8356496246897784,0.003,1.0048662425036528
Bayes-M10-geo,Intercept,TRUE,hazard ratio,0.08406559438514408,0.04519642986394499,0.1418239585737526,NA,1.0024878055033297
Bayes-M10-geo,log_pop,FALSE,hazard ratio,0.7077308687380995,0.5543960869255019,0.9067778559547612,0.0115,1.0024878055033297
Bayes-M10-geo,ccvi,FALSE,hazard ratio,1.832964811983356,1.338160410211265,2.650947875598414,1,1.0024878055033297
Bayes-M10-geo,d_min,FALSE,hazard ratio,0.8316773384082663,0.6341928302449933,1.0707386015727118,0.114,1.0024878055033297
Bayes-M4-dist,Intercept,TRUE,hazard ratio,0.05261382821506974,0.04159425884295096,0.0656985712699313,NA,1.0022324527857596
Bayes-M4-dist-geo,Intercept,TRUE,hazard ratio,0.0405190872235634,0.02092446954693433,0.06999434725262306,NA,1.0031782802946623
Bayes-M4-dist-geo,log_pop,FALSE,hazard ratio,0.6655328656899202,0.5226108109384477,0.8620692856889333,0.0035,1.0031782802946623
Bayes-M4-dist-geo,ccvi,FALSE,hazard ratio,1.4260273341715672,0.9442523541461778,2.259630017684331,0.921,1.0031782802946623
Bayes-M4-dist-geo,d_min,FALSE,hazard ratio,0.8410113794518994,0.6211845343521664,1.0931709064311979,0.1405,1.0031782802946623
Bayes-M8-dist,Intercept,TRUE,hazard ratio,0.06890742788725657,0.05413583299434716,0.08617275631567405,NA,1.0046065007515983
Bayes-M8-dist-geo,Intercept,TRUE,hazard ratio,0.04579448787685866,0.02601370385019463,0.07609632488542813,NA,1.0038997436964834
Bayes-M8-dist-geo,log_pop,FALSE,hazard ratio,0.7150668780754483,0.5675696427667055,0.9263854116501389,0.012,1.0038997436964834
Bayes-M8-dist-geo,ccvi,FALSE,hazard ratio,1.7637033705848641,1.2717600396086033,2.593531694658167,0.9995,1.0038997436964834
Bayes-M8-dist-geo,d_min,FALSE,hazard ratio,0.7598340571645688,0.5883300603491787,0.9704259326878801,0.028,1.0038997436964834
Bayes-M10-dist,Intercept,TRUE,hazard ratio,0.07946506010784662,0.06320328608218756,0.10028939600263788,NA,1.0004899929172497
Bayes-M10-dist-geo,Intercept,TRUE,hazard ratio,0.10606293870967579,0.058811375885922126,0.1727917643846274,NA,1.0017218824204923
Bayes-M10-dist-geo,log_pop,FALSE,hazard ratio,0.7425105837408992,0.5860055039692309,0.9395633610512232,0.0175,1.0017218824204923
Bayes-M10-dist-geo,ccvi,FALSE,hazard ratio,1.973523473636038,1.4296491195400327,2.9028520282688124,1,1.0017218824204923
Bayes-M10-dist-geo,d_min,FALSE,hazard ratio,1.0636857802607032,0.8322815856669696,1.324234242423244,0.6695,1.0017218824204923
