model,term,is_intercept,effect_scale,hr,lo,hi,p_dir,rhat
Bayes-M4-med,Intercept,TRUE,hazard ratio,0.06689218149478231,0.05260816389614021,0.08477361123701051,NA,1.0033076264472343
Bayes-M8-med,Intercept,TRUE,hazard ratio,0.10907532285947431,0.0849152761933522,0.13613601214806306,NA,1.001484428756514
Bayes-M9-med,Intercept,TRUE,hazard ratio,0.12045439652450457,0.09435443230972755,0.15519332825297988,NA,1.0023387844525886
Bayes-M10-med,Intercept,TRUE,hazard ratio,0.18102395662839932,0.14118802130420488,0.23019730709169128,NA,1.0037303145531526
Bayes-M8-short,Intercept,TRUE,hazard ratio,0.09906857601867289,0.07695088353135017,0.12680971546941514,NA,1.0056132769785529
Bayes-M8-long,Intercept,TRUE,hazard ratio,0.11900493709580467,0.0941880286496504,0.1486409602167208,NA,1.0016862560945645
Bayes-M8-full,Intercept,TRUE,hazard ratio,0.038511549332956876,0.018029633189772375,0.07328622749098557,NA,1.0029034920052078
Bayes-M8-full,log_pop,FALSE,hazard ratio,0.6617184084482584,0.5108360122214398,0.8485559466747365,0.003,1.0029034920052078
Bayes-M8-full,ccvi,FALSE,hazard ratio,1.6619386073399287,1.1088158544933613,2.5675337331048755,0.9805,1.0029034920052078
Bayes-M8-full,d_min,FALSE,hazard ratio,0.5686551466122542,0.4052862793809874,0.760549321163935,5e-4,1.0029034920052078
Bayes-M8-full,healthsite_density,FALSE,hazard ratio,0.7341843395737122,0.24640304856315015,1.4498067849925416,0.2555,1.0029034920052078
Bayes-M4-full,Intercept,TRUE,hazard ratio,0.022874224471147585,0.010333075535014202,0.0437000469692467,NA,1.0049722124738374
Bayes-M4-full,log_pop,FALSE,hazard ratio,0.6015078594345299,0.4629654852171456,0.7822467831166554,0.0015,1.0049722124738374
Bayes-M4-full,ccvi,FALSE,hazard ratio,1.5354492821036785,1.0319742027465746,2.358130338252482,0.964,1.0049722124738374
Bayes-M4-full,d_min,FALSE,hazard ratio,0.5485072646493296,0.39699602359928177,0.7381610144736053,0,1.0049722124738374
Bayes-M4-full,healthsite_density,FALSE,hazard ratio,0.845937329843311,0.26821230538543384,1.7830617469187982,0.375,1.0049722124738374
Bayes-M9-full,Intercept,TRUE,hazard ratio,0.05147470820401603,0.022865469017168866,0.10257260127555974,NA,1.0046713527899604
Bayes-M9-full,log_pop,FALSE,hazard ratio,0.820899719813271,0.640716066688115,1.0533346443066764,0.0955,1.0046713527899604
Bayes-M9-full,ccvi,FALSE,hazard ratio,1.6913377282845716,1.1189894847164608,2.5376227758071606,0.985,1.0046713527899604
Bayes-M9-full,d_min,FALSE,hazard ratio,0.6449222632562346,0.4518822393531672,0.8849509982471692,0.0155,1.0046713527899604
Bayes-M9-full,healthsite_density,FALSE,hazard ratio,0.751838357611136,0.2773248910272293,1.4894175525629554,0.2685,1.0046713527899604
Bayes-M10-full,Intercept,TRUE,hazard ratio,0.09274554902036322,0.04433823485284292,0.17557956978971895,NA,1.0026746032046623
Bayes-M10-full,log_pop,FALSE,hazard ratio,0.7325658910055965,0.5640071523452533,0.9344261629027851,0.024,1.0026746032046623
Bayes-M10-full,ccvi,FALSE,hazard ratio,1.4796056168580711,1.0013214591619342,2.2396759316200874,0.9505,1.0026746032046623
Bayes-M10-full,d_min,FALSE,hazard ratio,0.7104310425903269,0.5101513412370616,0.976472007514206,0.04,1.0026746032046623
Bayes-M10-full,healthsite_density,FALSE,hazard ratio,0.6251477802624417,0.24145857782860367,1.2289445731587039,0.1625,1.0026746032046623
Bayes-M8-susp,Intercept,TRUE,hazard ratio,0.07614763229916457,0.057034748709432634,0.10223148839488726,NA,1.0016421977789498
Bayes-M8-susp,susp_import,FALSE,hazard ratio,1.1411434203382935,1.0789595894598967,1.2196169042216276,1,1.0016421977789498
Bayes-M8-susp,susp_local,FALSE,hazard ratio,0.9741145807610667,0.9001277297500259,1.0345080805910165,0.2715,1.0016421977789498
Bayes-M8-full-susp,Intercept,TRUE,hazard ratio,0.04599017016969753,0.02160680480536181,0.08298791535095504,NA,1.005528604081702
Bayes-M8-full-susp,log_pop,FALSE,hazard ratio,0.685537888582548,0.5262804156181671,0.8829208358385434,0.0065,1.005528604081702
Bayes-M8-full-susp,ccvi,FALSE,hazard ratio,1.6112508343816865,1.0572651682294751,2.658131910398142,0.9705,1.005528604081702
Bayes-M8-full-susp,d_min,FALSE,hazard ratio,0.715562601362196,0.505122015612527,0.9866780832345459,0.041,1.005528604081702
Bayes-M8-full-susp,healthsite_density,FALSE,hazard ratio,0.7433103697649264,0.2631469974502083,1.5036674257268765,0.2595,1.005528604081702
Bayes-M8-full-susp,susp_import,FALSE,hazard ratio,1.11014018597453,1.040465099722127,1.1953788286411045,0.9975,1.005528604081702
Bayes-M8-full-susp,susp_local,FALSE,hazard ratio,0.979003036991273,0.9066346929194212,1.044581271747232,0.304,1.005528604081702
