health_zone,cumulative_confirmed_cases
Mwana,0
Mweka,0
Mwela Lembwa,0
Mweneditu,0
Mwenga,0
Mweso,0
Ndage,0
Ndekesha,0
Ndesha,0
Ndjili,0
Ndjoko Mpunda,0
Ngaba,0
Ngandajika,0
Ngidinga,0
Ngiri Ngiri,0
Nia Nia,151
Niangara,0
Nioki,0
Nizi,502
Nsele,0
Nselo,0
Nsona Mpangu,0
Ntandembelo,0
Ntondo,0
Nundu,0
Nyanga,0
Nyangezi,0
Nyankunde,122
Nyantende,0
Nyarambe,0
Nyemba,0
Nyiragongo,0
Nyunzu,0
Nzaba,0
Nzanza,0
Obokote,0
Oicha,5
Omendjadi,0
Opala,0
Opienge,0
Oshwe,0
Ototo,0
Panda,0
Pangi,0
Pania Mutombo,0
Panzi,0
Pawa,17
Pay Kongila,0
Pendjwa,0
Pimu,0
Pinga,0
Poko,0
Police,0
Popokabaka,0
Punia,0
Pweto,0
Rethy,0
Rimba,9
Ruashi,0
Rungu,1
Rutshuru,0
Ruzizi,0
Rwampara,800
Rwanguba,0
Sakania,0
Samba,0
Sandoa,0
Saramabila,0
Seke Banza,0
Selembao,0
Shabunda,0
Sia,0
Sona Bata,0
Songa,0
Tandala,0
Tchomia,48
Tembo,0
Titule,0
Tshamilemba,0
Tshela,0
Tshibala,0
Tshikaji,0
Tshikapa,0
Tshikula,0
Tshilenge,0
Tshishimbi,0
Tshofa,0
Tshopo,0
Tshudi Loto,0
Tshumbe,0
Tunda,0
Ubundu,0
Uvira,0
Vaku,0
Vanga,0
Vanga Kete,0
Vangu,0
Viadana,0
Vuhovi,3
Walikale,0
Walungu,0
Wamba,43
Wamba Lwadi,0
Wangata,0
Wanierukula,1
Wapinda,0
Wasolo,0
Watsa,0
Wema,0
Wembo Nyama,0
Wikong,0
Yabaondo,0
Yahisuli,0
Yahuma,0
Yakoma,0
Yakusu,0
Yaleko,0
Yalifafu,0
Yalimbongo,0
Yamaluka,0
Yambuku,0
Yamongili,0
Yangala,0
Yasa Bonga,0
Yumbi,0
Zongo,0
