health_zone,province,horizon,was_active_before,p_case_invasion,p_case_lo,p_case_hi,p_median,rank_med,rank_lo,rank_hi,mu_forecast,rr_nat,rr_nat_rank,rr01_nat,rr_ituri,rr_ituri_rank,rr_nordkivu,rr_nordkivu_rank,rr_hautuele,rr_hautuele_rank,V,priority,priority_rank,surveillance_gap,healthcare_gap,access_gap,social_vulnerability,healthcare_travel_min,method
Yambuku,Mongala,1,FALSE,0.0062,0.0046,0.008,0.0061,107,106,108,0.0062,0.5111,107,0.0148,NA,NA,NA,NA,NA,NA,0.4344,0.0149,92,0.5483,0.5753,0,0.6139,0,Bayes-M17-med
Makala,Kinshasa,1,FALSE,0.0059,0.0046,0.0074,0.0059,108,107,109,0.0059,0.4869,108,0.0141,NA,NA,NA,NA,NA,NA,0.0246,8e-4,436,0.0116,0.0386,0,0.0483,0,Bayes-M17-med
Opienge,Tshopo,1,FALSE,0.0057,0.0041,0.0074,0.0056,109,108,117,0.0057,0.4683,109,0.0136,NA,NA,NA,NA,NA,NA,0.4445,0.014,97,0.9556,0.0135,0,0.8089,0,Bayes-M17-med
Saramabila,Maniema,1,FALSE,0.0056,0.0043,0.0071,0.0056,110,110,111,0.0056,0.4645,110,0.0134,NA,NA,NA,NA,NA,NA,0.4768,0.0148,94,0.473,0.5502,0,0.8842,0,Bayes-M17-med
Kaziba,Sud-Kivu,1,FALSE,0.0056,0.0043,0.0071,0.0056,111,110,112,0.0056,0.4639,111,0.0134,NA,NA,NA,NA,NA,NA,0.3571,0.0111,107,0.2876,0.7838,0,0.3571,0,Bayes-M17-med
Kalamu 2,Kinshasa,1,FALSE,0.0055,0.0043,0.0069,0.0055,112,109,116,0.0055,0.4552,112,0.0132,NA,NA,NA,NA,NA,NA,0.015,5e-4,451,0.0039,0.0154,0,0.0405,0,Bayes-M17-med
Djolu,Tshuapa,1,FALSE,0.0055,0.0041,0.0071,0.0055,113,110,114,0.0055,0.4549,113,0.0132,NA,NA,NA,NA,NA,NA,0.5256,0.016,80,0.7104,0.5985,0,0.7934,0,Bayes-M17-med
Kitutu,Sud-Kivu,1,FALSE,0.0054,0.0041,0.0068,0.0053,114,112,114,0.0054,0.4438,114,0.0128,NA,NA,NA,NA,NA,NA,0.5024,0.0149,90,0.751,0.805,0,0.4537,0,Bayes-M17-med
Kongolo,Tanganyika,1,FALSE,0.0053,0.004,0.0067,0.0053,115,115,116,0.0053,0.4364,115,0.0126,NA,NA,NA,NA,NA,NA,0.6829,0.02,75,0.8861,0.9228,0,0.9228,0,Bayes-M17-med
Kibua,Nord-Kivu,1,FALSE,0.0052,0.004,0.0067,0.0052,116,113,117,0.0053,0.4339,116,0.0126,NA,NA,0.0945,21,NA,NA,0.5154,0.015,88,0.7741,0.6602,0,0.6274,0,Bayes-M17-med
Ango,Bas-Uele,1,FALSE,0.0051,0.0038,0.0067,0.0051,117,113,123,0.0052,0.4255,117,0.0123,NA,NA,NA,NA,NA,NA,0.7095,0.0202,74,1,0.8591,0,0.9788,0,Bayes-M17-med
Mumbunda,Haut-Katanga,1,FALSE,0.0051,0.0039,0.0064,0.0051,119,116,122,0.0051,0.418,119,0.0121,NA,NA,NA,NA,NA,NA,0.1853,0.0052,185,0.1197,0.5077,0,0.1139,0,Bayes-M17-med
Kabinda,Lomami,1,FALSE,0.0051,0.0038,0.0064,0.005,120,119,121,0.0051,0.4178,120,0.0121,NA,NA,NA,NA,NA,NA,0.4382,0.0123,101,0.5097,0.5541,0,0.6892,0,Bayes-M17-med
Kimbi Lulenge,Sud-Kivu,1,FALSE,0.0051,0.0039,0.0065,0.0051,118,118,119,0.0051,0.4207,118,0.0122,NA,NA,NA,NA,NA,NA,0.5507,0.0155,84,0.8475,0.8687,0,0.4865,0,Bayes-M17-med
Manika,Lualaba,1,FALSE,0.005,0.0038,0.0064,0.005,122,118,123,0.005,0.4154,122,0.012,NA,NA,NA,NA,NA,NA,0.1149,0.0032,266,0.0946,0.222,0,0.1429,0,Bayes-M17-med
Kalole,Sud-Kivu,1,FALSE,0.005,0.0038,0.0063,0.005,123,121,123,0.005,0.4108,123,0.0119,NA,NA,NA,NA,NA,NA,0.6038,0.0166,78,0.89,0.7799,0,0.7452,0,Bayes-M17-med
Mwenga,Sud-Kivu,1,FALSE,0.005,0.0038,0.0064,0.005,120,120,121,0.0051,0.4169,121,0.0121,NA,NA,NA,NA,NA,NA,0.319,0.0089,120,0.5,0.3552,0,0.4208,0,Bayes-M17-med
Itebero,Nord-Kivu,1,FALSE,0.0048,0.0037,0.0061,0.0048,124,124,126,0.0048,0.398,124,0.0115,NA,NA,0.0866,22,NA,NA,0.5574,0.0149,91,0.9112,0.722,0,0.5965,0,Bayes-M17-med
Mulungu,Sud-Kivu,1,FALSE,0.0048,0.0036,0.0061,0.0048,126,125,127,0.0048,0.3942,126,0.0114,NA,NA,NA,NA,NA,NA,0.5208,0.0138,98,0.861,0.5193,0,0.7027,0,Bayes-M17-med
Yahuma,Tshopo,1,FALSE,0.0048,0.0036,0.0061,0.0048,125,124,126,0.0048,0.3964,125,0.0115,NA,NA,NA,NA,NA,NA,0.4402,0.0117,104,0.8649,0.332,0,0.5637,0,Bayes-M17-med
Bonzola,Kasaï-Oriental,1,FALSE,0.0047,0.0035,0.0059,0.0046,127,127,128,0.0047,0.3855,127,0.0112,NA,NA,NA,NA,NA,NA,0.2958,0.0076,133,0.0927,0.7934,0,0.2973,0,Bayes-M17-med
Kamituga,Sud-Kivu,1,FALSE,0.0046,0.0035,0.0059,0.0046,128,127,129,0.0047,0.3839,128,0.0111,NA,NA,NA,NA,NA,NA,0.3596,0.0093,118,0.3938,0.6062,0,0.4382,0,Bayes-M17-med
Doruma,Haut-Uele,1,FALSE,0.0045,0.0033,0.0059,0.0045,129,125,130,0.0045,0.3726,129,0.0108,NA,NA,NA,NA,0.0345,7,0.6216,0.0155,83,0.973,0.5135,0,1,0,Bayes-M17-med
Bumba,Mongala,1,FALSE,0.0043,0.0032,0.0055,0.0043,130,130,133,0.0043,0.3543,130,0.0103,NA,NA,NA,NA,NA,NA,0.2384,0.0057,174,0.1409,0.4537,0,0.3591,0,Bayes-M17-med
Aketi,Bas-Uele,1,FALSE,0.0042,0.0031,0.0054,0.0041,133,131,138,0.0042,0.3435,133,0.0099,NA,NA,NA,NA,NA,NA,0.6762,0.0156,82,0.9903,0.9363,0,0.778,0,Bayes-M17-med
Lodja,Sankuru,1,FALSE,0.0042,0.0032,0.0053,0.0042,133,132,133,0.0042,0.3464,132,0.01,NA,NA,NA,NA,NA,NA,0.4626,0.0107,109,0.2625,0.6351,0,0.9527,0,Bayes-M17-med
Mbulula,Tanganyika,1,FALSE,0.0042,0.0032,0.0054,0.0042,131,130,132,0.0043,0.3507,131,0.0102,NA,NA,NA,NA,NA,NA,0.5934,0.014,96,0.6448,0.7761,0,0.9527,0,Bayes-M17-med
Kananga,Kasaï-Central,1,FALSE,0.0041,0.0031,0.0052,0.0041,135,134,136,0.0041,0.3371,135,0.0098,NA,NA,NA,NA,NA,NA,0.2963,0.0067,149,0.1429,0.5579,0,0.4846,0,Bayes-M17-med
Kisenso,Kinshasa,1,FALSE,0.0041,0.0032,0.0052,0.0041,134,129,136,0.0041,0.3396,134,0.0098,NA,NA,NA,NA,NA,NA,0.0589,0.0013,405,0.0367,0.139,0,0.0598,0,Bayes-M17-med
Punia,Maniema,1,FALSE,0.0041,0.0031,0.0052,0.0041,135,134,136,0.0041,0.3365,136,0.0097,NA,NA,NA,NA,NA,NA,0.3731,0.0084,126,0.7625,0.1969,0,0.5328,0,Bayes-M17-med
Kampene,Maniema,1,FALSE,0.004,0.003,0.005,0.0039,137,137,138,0.004,0.3272,137,0.0095,NA,NA,NA,NA,NA,NA,0.3962,0.0087,122,0.5251,0.1757,0,0.8842,0,Bayes-M17-med
Biyela,Kinshasa,1,FALSE,0.0039,0.003,0.0049,0.0039,141,136,147,0.0039,0.3201,141,0.0093,NA,NA,NA,NA,NA,NA,0.1076,0.0023,332,0.0637,0.2838,0,0.083,0,Bayes-M17-med
Kalima,Maniema,1,FALSE,0.0039,0.003,0.005,0.0039,138,138,140,0.0039,0.3252,138,0.0094,NA,NA,NA,NA,NA,NA,0.3094,0.0067,145,0.4595,0.3205,0,0.4575,0,Bayes-M17-med
Kabalo,Tanganyika,1,FALSE,0.0039,0.003,0.005,0.0039,139,139,141,0.0039,0.3249,139,0.0094,NA,NA,NA,NA,NA,NA,0.624,0.0136,99,0.9035,0.7568,0,0.8359,0,Bayes-M17-med
Moba,Tanganyika,1,FALSE,0.0039,0.003,0.005,0.0039,140,140,143,0.0039,0.3232,140,0.0094,NA,NA,NA,NA,NA,NA,0.3808,0.0083,128,0.6178,0.4942,0,0.4112,0,Bayes-M17-med
Kipushi,Haut-Katanga,1,FALSE,0.0038,0.0029,0.0048,0.0038,143,137,149,0.0038,0.3144,143,0.0091,NA,NA,NA,NA,NA,NA,0.1216,0.0026,313,0.2703,0.1081,0,0.1081,0,Bayes-M17-med
Kasansa,Kasaï-Oriental,1,FALSE,0.0038,0.0029,0.0048,0.0038,145,144,146,0.0038,0.3128,144,0.0091,NA,NA,NA,NA,NA,NA,0.3349,0.007,139,0.2568,0.6699,0,0.4131,0,Bayes-M17-med
Gemena,Sud-Ubangi,1,FALSE,0.0038,0.0029,0.0049,0.0038,142,137,149,0.0038,0.3171,142,0.0092,NA,NA,NA,NA,NA,NA,0.3277,0.007,141,0.1776,0.2741,0,0.8591,0,Bayes-M17-med
Titule,Bas-Uele,1,FALSE,0.0037,0.0028,0.0049,0.0037,147,139,154,0.0037,0.3084,147,0.0089,NA,NA,NA,NA,NA,NA,0.6839,0.0141,95,0.9865,0.8263,0,0.9228,0,Bayes-M17-med
Mbandaka,Equateur,1,FALSE,0.0037,0.0029,0.0047,0.0037,149,144,152,0.0037,0.3072,150,0.0089,NA,NA,NA,NA,NA,NA,0.5164,0.0106,110,0.6409,0.9633,0,0.4614,0,Bayes-M17-med
Tshamilemba,Haut-Katanga,1,FALSE,0.0037,0.0028,0.0046,0.0037,152,145,154,0.0037,0.3044,152,0.0088,NA,NA,NA,NA,NA,NA,0.0772,0.0016,390,0.0656,0.1255,0,0.1178,0,Bayes-M17-med
Kimbanseke,Kinshasa,1,FALSE,0.0037,0.0029,0.0047,0.0037,148,142,151,0.0037,0.3082,148,0.0089,NA,NA,NA,NA,NA,NA,0.0526,0.0011,416,0.0521,0.0849,0,0.0734,0,Bayes-M17-med
Lolo,Mongala,1,FALSE,0.0037,0.0028,0.0048,0.0037,145,143,152,0.0037,0.3092,146,0.009,NA,NA,NA,NA,NA,NA,0.3161,0.0066,152,0.4073,0.3263,0,0.5309,0,Bayes-M17-med
Opala,Tshopo,1,FALSE,0.0037,0.0028,0.0048,0.0037,150,145,150,0.0037,0.3074,149,0.0089,NA,NA,NA,NA,NA,NA,0.4269,0.0088,121,0.7819,0.0792,0,0.8465,0,Bayes-M17-med
Yahisuli,Tshopo,1,FALSE,0.0037,0.0028,0.0048,0.0037,146,144,148,0.0038,0.3097,145,0.009,NA,NA,NA,NA,NA,NA,0.3521,0.0073,137,0.3842,0.0714,0,0.9527,0,Bayes-M17-med
Manono,Tanganyika,1,FALSE,0.0037,0.0028,0.0047,0.0037,149,148,151,0.0037,0.3052,151,0.0088,NA,NA,NA,NA,NA,NA,0.5758,0.0118,103,0.8784,0.9537,0,0.471,0,Bayes-M17-med
Nyunzu,Tanganyika,1,FALSE,0.0036,0.0027,0.0045,0.0036,153,153,154,0.0036,0.295,153,0.0085,NA,NA,NA,NA,NA,NA,0.6023,0.0119,102,0.9653,0.834,0,0.61,0,Bayes-M17-med
Nzaba,Kasaï-Oriental,1,FALSE,0.0035,0.0027,0.0045,0.0035,155,154,155,0.0035,0.2897,155,0.0084,NA,NA,NA,NA,NA,NA,0.278,0.0054,180,0.1042,0.6931,0,0.3147,0,Bayes-M17-med
Boende,Tshuapa,1,FALSE,0.0035,0.0026,0.0046,0.0035,154,150,161,0.0035,0.2916,154,0.0084,NA,NA,NA,NA,NA,NA,0.4199,0.0082,129,0.6988,0.4807,0,0.5,0,Bayes-M17-med
Kabongo,Haut-Lomami,1,FALSE,0.0034,0.0026,0.0044,0.0034,159,156,159,0.0034,0.2827,159,0.0082,NA,NA,NA,NA,NA,NA,0.5372,0.0102,111,0.8108,0.778,0,0.5598,0,Bayes-M17-med
Maluku 2,Kinshasa,1,FALSE,0.0034,0.0027,0.0043,0.0034,157,151,162,0.0034,0.2835,157,0.0082,NA,NA,NA,NA,NA,NA,0.4184,0.008,130,0.6834,0.5463,0,0.444,0,Bayes-M17-med
Lusangi,Maniema,1,FALSE,0.0034,0.0026,0.0043,0.0034,160,159,160,0.0034,0.2793,160,0.0081,NA,NA,NA,NA,NA,NA,0.4223,0.0079,131,0.5656,0.2645,0,0.8591,0,Bayes-M17-med
Lulingu,Sud-Kivu,1,FALSE,0.0034,0.0026,0.0044,0.0034,158,157,158,0.0034,0.2828,158,0.0082,NA,NA,NA,NA,NA,NA,0.6158,0.0117,106,0.9093,0.8108,0,0.7432,0,Bayes-M17-med
Haut Plateau,Sud-Kivu,1,FALSE,0.0034,0.0026,0.0044,0.0034,156,156,157,0.0034,0.2841,156,0.0082,NA,NA,NA,NA,NA,NA,0.5246,0.01,113,0.5714,0.5444,0,0.9826,0,Bayes-M17-med
Kamina,Haut-Lomami,1,FALSE,0.0033,0.0025,0.0041,0.0032,164,164,165,0.0033,0.2686,164,0.0078,NA,NA,NA,NA,NA,NA,0.5164,0.0093,117,0.8301,0.8301,0,0.4054,0,Bayes-M17-med
Mulumba,Lomami,1,FALSE,0.0033,0.0025,0.0042,0.0033,162,160,163,0.0033,0.2737,162,0.0079,NA,NA,NA,NA,NA,NA,0.2587,0.0048,206,0.1834,0.3108,0,0.5405,0,Bayes-M17-med
Luputa,Lomami,1,FALSE,0.0033,0.0025,0.0042,0.0033,163,163,164,0.0033,0.2722,163,0.0079,NA,NA,NA,NA,NA,NA,0.3431,0.0063,162,0.3301,0.3166,0,0.7259,0,Bayes-M17-med
Minembwe,Sud-Kivu,1,FALSE,0.0033,0.0025,0.0042,0.0033,161,161,162,0.0033,0.2743,161,0.0079,NA,NA,NA,NA,NA,NA,0.5198,0.0096,115,0.7181,0.8089,0,0.5521,0,Bayes-M17-med
Tshilenge,Kasaï-Oriental,1,FALSE,0.0032,0.0025,0.0041,0.0032,165,165,166,0.0032,0.2671,165,0.0077,NA,NA,NA,NA,NA,NA,0.2799,0.005,196,0.1892,0.668,0,0.2625,0,Bayes-M17-med
Bumbu,Kinshasa,1,FALSE,0.0032,0.0025,0.004,0.0032,167,159,170,0.0032,0.2652,167,0.0077,NA,NA,NA,NA,NA,NA,0.0164,3e-4,457,0.0019,0.029,0,0.0347,0,Bayes-M17-med
Idiofa,Kwilu,1,FALSE,0.0032,0.0024,0.004,0.0032,168,168,170,0.0032,0.262,168,0.0076,NA,NA,NA,NA,NA,NA,0.486,0.0085,124,0.4537,0.749,0,0.7413,0,Bayes-M17-med
Mweneditu,Lomami,1,FALSE,0.0032,0.0024,0.0041,0.0032,166,166,167,0.0032,0.2664,166,0.0077,NA,NA,NA,NA,NA,NA,0.2799,0.005,197,0.166,0.3842,0,0.5695,0,Bayes-M17-med
Samba,Maniema,1,FALSE,0.0032,0.0024,0.004,0.0032,169,168,169,0.0032,0.262,169,0.0076,NA,NA,NA,NA,NA,NA,0.5179,0.0091,119,0.7529,0.4344,0,0.8842,0,Bayes-M17-med
Lingomo,Tshuapa,1,FALSE,0.0032,0.0024,0.0041,0.0031,170,165,171,0.0032,0.2617,170,0.0076,NA,NA,NA,NA,NA,NA,0.5627,0.0099,114,0.8263,0.5869,0,0.8378,0,Bayes-M17-med
Ngaba,Kinshasa,1,FALSE,0.003,0.0023,0.0038,0.003,172,168,175,0.003,0.2492,172,0.0072,NA,NA,NA,NA,NA,NA,0.014,2e-4,458,0,0.0058,0,0.0502,0,Bayes-M17-med
Kailo,Maniema,1,FALSE,0.003,0.0023,0.0039,0.003,171,171,172,0.003,0.2505,171,0.0073,NA,NA,NA,NA,NA,NA,0.4276,0.0072,138,0.832,0.0946,0,0.7838,0,Bayes-M17-med
Tshikapa,Kasaï,1,FALSE,0.0029,0.0022,0.0037,0.0029,175,174,176,0.0029,0.2371,175,0.0069,NA,NA,NA,NA,NA,NA,0.3156,0.005,195,0.2722,0.6506,0,0.3398,0,Bayes-M17-med
Kabeya Kamwanga,Kasaï-Oriental,1,FALSE,0.0029,0.0022,0.0037,0.0029,174,173,175,0.0029,0.2393,174,0.0069,NA,NA,NA,NA,NA,NA,0.2968,0.0048,205,0.3224,0.3919,0,0.473,0,Bayes-M17-med
Ikela,Tshuapa,1,FALSE,0.0029,0.0022,0.0038,0.0029,173,172,175,0.0029,0.2419,173,0.007,NA,NA,NA,NA,NA,NA,0.4633,0.0075,135,0.8147,0.1795,0,0.8591,0,Bayes-M17-med
Mondombe,Tshuapa,1,FALSE,0.0029,0.0021,0.0037,0.0028,176,173,178,0.0029,0.2368,176,0.0069,NA,NA,NA,NA,NA,NA,0.4797,0.0076,134,0.6622,0.3726,0,0.8842,0,Bayes-M17-med
Malemba Nkulu,Haut-Lomami,1,FALSE,0.0028,0.0021,0.0036,0.0028,178,177,178,0.0028,0.2321,178,0.0067,NA,NA,NA,NA,NA,NA,0.3895,0.0061,165,0.36870000000000003,0.7664,0,0.4228,0,Bayes-M17-med
Kamwesha,Kasaï,1,FALSE,0.0028,0.0022,0.0036,0.0028,177,176,177,0.0028,0.2349,177,0.0068,NA,NA,NA,NA,NA,NA,0.2732,0.0043,216,0.3456,0.2876,0,0.4595,0,Bayes-M17-med
Demba,Kasaï-Central,1,FALSE,0.0028,0.0021,0.0035,0.0027,179,179,180,0.0028,0.2277,179,0.0066,NA,NA,NA,NA,NA,NA,0.4117,0.0063,160,0.4653,0.7143,0,0.4672,0,Bayes-M17-med
Kitenge,Haut-Lomami,1,FALSE,0.0027,0.0021,0.0035,0.0027,180,180,182,0.0027,0.2257,180,0.0065,NA,NA,NA,NA,NA,NA,0.5729,0.0087,123,0.8668,0.8069,0,0.6178,0,Bayes-M17-med
Yamongili,Mongala,1,FALSE,0.0027,0.002,0.0035,0.0027,181,179,182,0.0027,0.2253,181,0.0065,NA,NA,NA,NA,NA,NA,0.3243,0.0049,202,0.5116,0.3668,0,0.4189,0,Bayes-M17-med
Karawa,Nord-Ubangi,1,FALSE,0.0027,0.002,0.0035,0.0027,182,181,185,0.0027,0.2213,182,0.0064,NA,NA,NA,NA,NA,NA,0.6404,0.0095,116,0.7568,0.973,0,0.832,0,Bayes-M17-med
Likati,Bas-Uele,1,FALSE,0.0026,0.0019,0.0033,0.0025,186,184,189,0.0026,0.2108,186,0.0061,NA,NA,NA,NA,NA,NA,0.7124,0.0101,112,0.9942,0.971,0,0.8842,0,Bayes-M17-med
Kaniama,Haut-Lomami,1,FALSE,0.0026,0.002,0.0034,0.0026,183,181,183,0.0026,0.2185,183,0.0063,NA,NA,NA,NA,NA,NA,0.582,0.0085,125,0.8533,0.6622,0,0.8127,0,Bayes-M17-med
Mikalayi,Kasaï-Central,1,FALSE,0.0026,0.002,0.0033,0.0026,185,184,186,0.0026,0.2137,185,0.0062,NA,NA,NA,NA,NA,NA,0.3948,0.0057,175,0.4517,0.5811,0,0.5463,0,Bayes-M17-med
Lubao,Lomami,1,FALSE,0.0026,0.002,0.0033,0.0026,184,183,187,0.0026,0.2143,184,0.0062,NA,NA,NA,NA,NA,NA,0.3982,0.0057,171,0.6486,0.1525,0,0.7915,0,Bayes-M17-med
Lukelenge,Kasaï-Oriental,1,FALSE,0.0025,0.0019,0.0031,0.0025,190,187,190,0.0025,0.204,190,0.0059,NA,NA,NA,NA,NA,NA,0.2249,0.0031,277,0.0811,0.5,0,0.3185,0,Bayes-M17-med
Lusanga,Kwilu,1,FALSE,0.0025,0.0019,0.0032,0.0025,189,186,189,0.0025,0.2068,189,0.006,NA,NA,NA,NA,NA,NA,0.4242,0.0059,167,0.4382,0.7297,0,0.529,0,Bayes-M17-med
Bwamanda,Sud-Ubangi,1,FALSE,0.0025,0.0019,0.0032,0.0025,188,188,193,0.0025,0.2073,188,0.006,NA,NA,NA,NA,NA,NA,0.4667,0.0065,154,0.4189,0.7394,0,0.7085,0,Bayes-M17-med
Bokungu,Tshuapa,1,FALSE,0.0025,0.0019,0.0033,0.0025,187,185,189,0.0025,0.2093,187,0.0061,NA,NA,NA,NA,NA,NA,0.49370000000000003,0.0069,142,0.695,0.3571,0,0.9228,0,Bayes-M17-med
Luebo,Kasaï,1,FALSE,0.0024,0.0018,0.0031,0.0024,192,191,192,0.0024,0.2012,192,0.0058,NA,NA,NA,NA,NA,NA,0.4353,0.0059,169,0.5232,0.5116,0,0.7066,0,Bayes-M17-med
Mweka,Kasaï,1,FALSE,0.0024,0.0018,0.003,0.0024,195,194,195,0.0024,0.1967,195,0.0057,NA,NA,NA,NA,NA,NA,0.5053,0.0067,150,0.4788,0.7239,0,0.8185,0,Bayes-M17-med
Cilundu,Kasaï-Oriental,1,FALSE,0.0024,0.0018,0.003,0.0024,194,194,195,0.0024,0.1967,194,0.0057,NA,NA,NA,NA,NA,NA,0.221,0.0029,289,0.2317,0.3089,0,0.3436,0,Bayes-M17-med
Diulu,Kasaï-Oriental,1,FALSE,0.0024,0.0019,0.0031,0.0024,191,188,192,0.0024,0.2017,191,0.0058,NA,NA,NA,NA,NA,NA,0.2611,0.0035,245,0.0676,0.6448,0,0.332,0,Bayes-M17-med
Ngandajika,Lomami,1,FALSE,0.0024,0.0018,0.0031,0.0024,193,192,193,0.0024,0.2002,193,0.0058,NA,NA,NA,NA,NA,NA,0.3465,0.0047,210,0.2124,0.4459,0,0.7278,0,Bayes-M17-med
Bena Leka,Kasaï-Central,1,FALSE,0.0023,0.0017,0.0029,0.0023,200,200,201,0.0023,0.1903,200,0.0055,NA,NA,NA,NA,NA,NA,0.4986,0.0064,156,0.6062,0.7162,0,0.6718,0,Bayes-M17-med
Luiza,Kasaï-Central,1,FALSE,0.0023,0.0018,0.003,0.0023,197,196,199,0.0023,0.1926,197,0.0056,NA,NA,NA,NA,NA,NA,0.4218,0.0055,178,0.4807,0.6293,0,0.5772,0,Bayes-M17-med
Masuika,Kasaï-Central,1,FALSE,0.0023,0.0017,0.0029,0.0023,202,201,204,0.0023,0.1886,202,0.0055,NA,NA,NA,NA,NA,NA,0.3885,0.0049,200,0.3263,0.5618,0,0.666,0,Bayes-M17-med
Vanga,Kwilu,1,FALSE,0.0023,0.0018,0.003,0.0023,196,196,198,0.0023,0.1927,196,0.0056,NA,NA,NA,NA,NA,NA,0.5034,0.0065,153,0.3726,0.8205,0,0.8205,0,Bayes-M17-med
Bulungu,Kwilu,1,FALSE,0.0023,0.0018,0.003,0.0023,198,198,199,0.0023,0.1921,198,0.0056,NA,NA,NA,NA,NA,NA,0.4508,0.0058,170,0.3571,0.6795,0,0.7664,0,Bayes-M17-med
Fungurume,Lualaba,1,FALSE,0.0023,0.0017,0.0029,0.0022,204,203,205,0.0023,0.1864,204,0.0054,NA,NA,NA,NA,NA,NA,0.1564,0.002,355,0.2664,0.1622,0,0.1969,0,Bayes-M17-med
Kabambare,Maniema,1,FALSE,0.0023,0.0018,0.0029,0.0023,199,196,202,0.0023,0.1911,199,0.0055,NA,NA,NA,NA,NA,NA,0.3953,0.0051,194,0.8359,0.112,0,0.6332,0,Bayes-M17-med
Tandala,Sud-Ubangi,1,FALSE,0.0023,0.0017,0.0029,0.0022,203,200,210,0.0023,0.1869,203,0.0054,NA,NA,NA,NA,NA,NA,0.4078,0.0051,189,0.2741,0.527,0,0.8301,0,Bayes-M17-med
Yalimbongo,Tshopo,1,FALSE,0.0023,0.0017,0.0029,0.0022,205,203,206,0.0023,0.1862,205,0.0054,NA,NA,NA,NA,NA,NA,0.3214,0.004,222,0.5772,0.0483,0,0.6602,0,Bayes-M17-med
Yalifafu,Tshuapa,1,FALSE,0.0023,0.0017,0.003,0.0023,201,196,207,0.0023,0.1899,201,0.0055,NA,NA,NA,NA,NA,NA,0.4797,0.0061,163,0.7664,0.2683,0,0.8842,0,Bayes-M17-med
Bukama,Haut-Lomami,1,FALSE,0.0022,0.0016,0.0027,0.0021,212,212,212,0.0022,0.1778,212,0.0052,NA,NA,NA,NA,NA,NA,0.4764,0.0057,172,0.7143,0.7625,0,0.4286,0,Bayes-M17-med
Bibanga,Kasaï-Oriental,1,FALSE,0.0022,0.0017,0.0029,0.0022,206,203,207,0.0022,0.1852,206,0.0054,NA,NA,NA,NA,NA,NA,0.2978,0.0037,236,0.3127,0.4884,0,0.39,0,Bayes-M17-med
Citenge,Kasaï-Oriental,1,FALSE,0.0022,0.0016,0.0028,0.0022,210,209,210,0.0022,0.1796,210,0.0052,NA,NA,NA,NA,NA,NA,0.2321,0.0028,301,0.1583,0.4749,0,0.2954,0,Bayes-M17-med
Kenge,Kwango,1,FALSE,0.0022,0.0017,0.0028,0.0022,209,208,209,0.0022,0.1833,209,0.0053,NA,NA,NA,NA,NA,NA,0.5574,0.0069,143,0.6139,0.8127,0,0.8031,0,Bayes-M17-med
Kanda Kanda,Lomami,1,FALSE,0.0022,0.0016,0.0027,0.0022,211,211,213,0.0022,0.1781,211,0.0052,NA,NA,NA,NA,NA,NA,0.3012,0.0036,242,0.3185,0.1737,0,0.7124,0,Bayes-M17-med
Lomela,Sankuru,1,FALSE,0.0022,0.0017,0.0028,0.0022,208,204,209,0.0022,0.1841,208,0.0053,NA,NA,NA,NA,NA,NA,0.4759,0.0059,168,0.8456,0.1351,0,0.9228,0,Bayes-M17-med
Kansimba,Tanganyika,1,FALSE,0.0022,0.0017,0.0028,0.0022,207,205,208,0.0022,0.1844,207,0.0053,NA,NA,NA,NA,NA,NA,0.5497,0.0068,144,0.9479,0.7741,0,0.4768,0,Bayes-M17-med
Kikwit Nord,Kwilu,1,FALSE,0.0021,0.0016,0.0027,0.0021,218,217,219,0.0021,0.1734,218,0.005,NA,NA,NA,NA,NA,NA,0.2915,0.0034,254,0.1236,0.5405,0,0.5019,0,Bayes-M17-med
Tshofa,Lomami,1,FALSE,0.0021,0.0016,0.0027,0.0021,214,213,216,0.0021,0.1755,214,0.0051,NA,NA,NA,NA,NA,NA,0.4416,0.0052,184,0.6757,0.3514,0,0.7394,0,Bayes-M17-med
Kalenda,Lomami,1,FALSE,0.0021,0.0016,0.0027,0.0021,216,214,217,0.0021,0.1745,216,0.0051,NA,NA,NA,NA,NA,NA,0.2886,0.0034,255,0.388,0.1873,0,0.5792,0,Bayes-M17-med
Kibombo,Maniema,1,FALSE,0.0021,0.0016,0.0027,0.0021,217,216,220,0.0021,0.1736,217,0.005,NA,NA,NA,NA,NA,NA,0.4614,0.0054,182,0.7452,0.1776,0,0.9228,0,Bayes-M17-med
Bosondjo,Mongala,1,FALSE,0.0021,0.0015,0.0027,0.002,221,218,223,0.0021,0.1701,221,0.0049,NA,NA,NA,NA,NA,NA,0.3489,0.004,224,0.5618,0.1931,0,0.6409,0,Bayes-M17-med
Pimu,Mongala,1,FALSE,0.0021,0.0016,0.0027,0.0021,215,211,219,0.0021,0.1749,215,0.0051,NA,NA,NA,NA,NA,NA,0.4257,0.005,198,0.583,0.3707,0,0.749,0,Bayes-M17-med
Yakoma,Nord-Ubangi,1,FALSE,0.0021,0.0015,0.0027,0.0021,219,215,223,0.0021,0.1715,219,0.005,NA,NA,NA,NA,NA,NA,0.6641,0.0076,132,0.7124,0.9479,0,0.9961,0,Bayes-M17-med
