health_zone,province,horizon,was_active_before,p_case_invasion,p_case_lo,p_case_hi,p_median,rank_med,rank_lo,rank_hi,mu_forecast,rr_nat,rr_nat_rank,rr01_nat,rr_ituri,rr_ituri_rank,rr_nordkivu,rr_nordkivu_rank,rr_hautuele,rr_hautuele_rank,V,priority,priority_rank,surveillance_gap,healthcare_gap,access_gap,social_vulnerability,healthcare_travel_min,method
Tshopo,Tshopo,1,FALSE,0.0552,0.043,0.0693,0.055,24,24,25,0.0569,4.6882,25,0.1322,NA,NA,NA,NA,NA,NA,0.2466,0.0755,32,0.361,0.334,0,0.2915,0,Bayes-M17-med
Rwanguba,Nord-Kivu,1,FALSE,0.0518,0.0401,0.0651,0.0518,26,25,26,0.0532,4.3887,26,0.124,NA,NA,0.9554,10,NA,NA,0.2442,0.0701,37,0.2085,0.7027,0,0.0656,0,Bayes-M17-med
Kamango,Nord-Kivu,1,FALSE,0.0514,0.0397,0.0645,0.0513,27,26,27,0.0527,4.3493,27,0.1229,NA,NA,0.9468,11,NA,NA,0.4373,0.1244,19,0.6583,0.917,0,0.1737,0,Bayes-M17-med
Kibirizi,Nord-Kivu,1,FALSE,0.0435,0.0338,0.0546,0.0434,28,28,28,0.0445,3.6701,28,0.1041,NA,NA,0.7989,12,NA,NA,0.4175,0.1007,23,0.5405,0.8552,0,0.2741,0,Bayes-M17-med
Ibanda,Sud-Kivu,1,FALSE,0.038,0.0293,0.0478,0.0379,29,29,31,0.0387,3.1914,29,0.0908,NA,NA,NA,NA,NA,NA,0.2307,0.0485,47,0.083,0.6216,0,0.2181,0,Bayes-M17-med
Faradje,Haut-Uele,1,FALSE,0.0374,0.0285,0.0475,0.0373,30,29,31,0.0382,3.1472,30,0.0896,NA,NA,NA,NA,0.2913,5,0.4474,0.0928,26,0.7606,0.666,0,0.3629,0,Bayes-M17-med
Nsele,Kinshasa,1,FALSE,0.0372,0.0289,0.0464,0.0371,31,29,32,0.0379,3.123,31,0.0889,NA,NA,NA,NA,NA,NA,0.1583,0.0326,52,0.139,0.3996,0,0.0946,0,Bayes-M17-med
Ganga,Bas-Uele,1,FALSE,0.0366,0.0271,0.0476,0.0364,32,29,34,0.0373,3.0784,32,0.0877,NA,NA,NA,NA,NA,NA,0.7218,0.1465,15,0.9672,0.9556,0,0.9643,0,Bayes-M17-med
Minova,Sud-Kivu,1,FALSE,0.0356,0.0273,0.045,0.0356,33,32,33,0.0363,2.9916,33,0.0852,NA,NA,NA,NA,NA,NA,0.3866,0.0763,29,0.4421,0.9826,0,0.1216,0,Bayes-M17-med
Gombe,Kinshasa,1,FALSE,0.0343,0.0268,0.0428,0.0342,34,32,35,0.035,2.883,34,0.0822,NA,NA,NA,NA,NA,NA,0.1622,0.0309,53,0.0695,0.5695,0,0.0097,0,Bayes-M17-med
Aba,Haut-Uele,1,FALSE,0.0328,0.025,0.0417,0.0327,35,35,37,0.0334,2.7526,35,0.0785,NA,NA,NA,NA,0.2548,6,0.569,0.1035,22,0.6004,0.6853,0,0.9903,0,Bayes-M17-med
Mweso,Nord-Kivu,1,FALSE,0.0326,0.0251,0.0413,0.0326,36,35,37,0.0332,2.7371,36,0.0781,NA,NA,0.5958,13,NA,NA,0.4189,0.0758,30,0.4498,0.9614,0,0.2645,0,Bayes-M17-med
Banalia,Tshopo,1,FALSE,0.0321,0.0241,0.0413,0.032,37,34,38,0.0327,2.6953,37,0.0769,NA,NA,NA,NA,NA,NA,0.4242,0.0756,31,0.7799,0.1178,0,0.7992,0,Bayes-M17-med
Masisi,Nord-Kivu,1,FALSE,0.0305,0.0234,0.0387,0.0305,38,37,38,0.031,2.5585,38,0.0731,NA,NA,0.557,14,NA,NA,0.4402,0.0745,33,0.4324,0.9575,0,0.3707,0,Bayes-M17-med
Katana,Sud-Kivu,1,FALSE,0.0287,0.0222,0.0361,0.0286,39,39,40,0.0291,2.3989,39,0.0686,NA,NA,NA,NA,NA,NA,0.3224,0.0512,44,0.2471,0.9112,0,0.1313,0,Bayes-M17-med
Kadutu,Sud-Kivu,1,FALSE,0.0285,0.022,0.036,0.0285,40,39,40,0.029,2.3883,40,0.0683,NA,NA,NA,NA,NA,NA,0.1636,0.0259,63,0.0579,0.3861,0,0.2104,0,Bayes-M17-med
Binza,Nord-Kivu,1,FALSE,0.0274,0.0211,0.0345,0.0274,41,41,44,0.0278,2.2931,41,0.0656,NA,NA,0.4992,15,NA,NA,0.3518,0.0535,41,0.471,0.8378,0,0.0985,0,Bayes-M17-med
Bambo,Nord-Kivu,1,FALSE,0.0273,0.0211,0.0344,0.0273,42,42,43,0.0277,2.2839,42,0.0654,NA,NA,0.4972,16,NA,NA,0.3962,0.06,39,0.5521,0.9073,0,0.1255,0,Bayes-M17-med
Limete,Kinshasa,1,FALSE,0.027,0.021,0.0337,0.0269,44,41,45,0.0274,2.2573,44,0.0646,NA,NA,NA,NA,NA,NA,0.056,0.0084,127,0.0405,0.1371,0,0.0463,0,Bayes-M17-med
Binza Ozone,Kinshasa,1,FALSE,0.027,0.021,0.0338,0.027,43,42,44,0.0274,2.2604,43,0.0647,NA,NA,NA,NA,NA,NA,0.152,0.0228,70,0.0734,0.5232,0,0.0116,0,Bayes-M17-med
Kabare,Sud-Kivu,1,FALSE,0.0263,0.0202,0.0333,0.0263,45,44,45,0.0267,2.2004,45,0.063,NA,NA,NA,NA,NA,NA,0.3567,0.052,42,0.2394,0.9884,0,0.1988,0,Bayes-M17-med
Kokolo,Kinshasa,1,FALSE,0.0242,0.0188,0.0302,0.0241,46,46,46,0.0245,2.0171,46,0.0578,NA,NA,NA,NA,NA,NA,0.2172,0.0291,57,0.0772,0.7722,0,0.0193,0,Bayes-M17-med
Lingwala,Kinshasa,1,FALSE,0.0236,0.0184,0.0295,0.0236,47,47,48,0.0239,1.9738,47,0.0566,NA,NA,NA,NA,NA,NA,0.0323,0.0042,217,0.0232,0.0907,0,0.0154,0,Bayes-M17-med
Uvira,Sud-Kivu,1,FALSE,0.0231,0.0177,0.0294,0.0231,48,47,49,0.0234,1.9316,48,0.0554,NA,NA,NA,NA,NA,NA,0.5502,0.0706,36,0.2181,0.9846,0,0.9981,0,Bayes-M17-med
Kinshasa,Kinshasa,1,FALSE,0.0221,0.0172,0.0277,0.0221,49,48,50,0.0224,1.847,49,0.053,NA,NA,NA,NA,NA,NA,0.0203,0.0025,320,0.0135,0.0463,0,0.0212,0,Bayes-M17-med
Buta,Bas-Uele,1,FALSE,0.0218,0.0165,0.0279,0.0217,50,49,52,0.022,1.8181,50,0.0522,NA,NA,NA,NA,NA,NA,0.7225,0.0873,27,0.9749,0.9923,0,0.9228,0,Bayes-M17-med
Kalamu 1,Kinshasa,1,FALSE,0.0212,0.0165,0.0265,0.0211,51,50,52,0.0214,1.7668,51,0.0507,NA,NA,NA,NA,NA,NA,0.0309,0.0036,241,0.0193,0.0734,0,0.0309,0,Bayes-M17-med
Kasa Vubu,Kinshasa,1,FALSE,0.0211,0.0164,0.0263,0.021,52,51,53,0.0213,1.758,52,0.0505,NA,NA,NA,NA,NA,NA,0.0444,0.0052,187,0.0309,0.1216,0,0.0251,0,Bayes-M17-med
Katoyi,Nord-Kivu,1,FALSE,0.0205,0.0156,0.026,0.0204,53,51,53,0.0207,1.7042,53,0.0489,NA,NA,0.371,17,NA,NA,0.4542,0.0515,43,0.4614,0.9595,0,0.3958,0,Bayes-M17-med
Lemba,Kinshasa,1,FALSE,0.0195,0.0152,0.0244,0.0195,54,54,56,0.0197,1.6282,54,0.0468,NA,NA,NA,NA,NA,NA,0.1023,0.0111,108,0.0483,0.3069,0,0.0541,0,Bayes-M17-med
Walikale,Nord-Kivu,1,FALSE,0.019,0.0146,0.0241,0.019,55,54,57,0.0192,1.5846,55,0.0455,NA,NA,0.3449,18,NA,NA,0.5729,0.0604,38,0.9459,0.9286,0,0.417,0,Bayes-M17-med
Masina 1,Kinshasa,1,FALSE,0.0189,0.0147,0.0236,0.0188,56,55,57,0.0191,1.5722,56,0.0452,NA,NA,NA,NA,NA,NA,0.0193,0.002,349,0.0077,0.0077,0,0.0618,0,Bayes-M17-med
Walungu,Sud-Kivu,1,FALSE,0.0188,0.0143,0.0239,0.0188,57,55,58,0.019,1.5662,57,0.045,NA,NA,NA,NA,NA,NA,0.3248,0.0339,50,0.1853,0.8803,0,0.2336,0,Bayes-M17-med
Kintambo,Kinshasa,1,FALSE,0.0187,0.0145,0.0233,0.0186,58,56,59,0.0189,1.5547,58,0.0447,NA,NA,NA,NA,NA,NA,0.0338,0.0035,250,0.0212,0.1004,0,0.0135,0,Bayes-M17-med
Ruzizi,Sud-Kivu,1,FALSE,0.0181,0.0138,0.0229,0.0181,59,58,59,0.0182,1.504,59,0.0433,NA,NA,NA,NA,NA,NA,0.5627,0.0564,40,0.3494,0.9093,0,0.9923,0,Bayes-M17-med
Fizi,Sud-Kivu,1,FALSE,0.0164,0.0124,0.0208,0.0163,60,60,62,0.0165,1.3597,60,0.0391,NA,NA,NA,NA,NA,NA,0.5637,0.0511,45,0.7432,0.9691,0,0.5425,0,Bayes-M17-med
Masina 2,Kinshasa,1,FALSE,0.0162,0.0126,0.0203,0.0162,61,60,62,0.0164,1.3505,61,0.0389,NA,NA,NA,NA,NA,NA,0.0265,0.0024,326,0.0174,0.0193,0,0.0695,0,Bayes-M17-med
Bandalungwa,Kinshasa,1,FALSE,0.0162,0.0126,0.0202,0.0161,62,61,64,0.0163,1.3436,62,0.0387,NA,NA,NA,NA,NA,NA,0.0709,0.0064,157,0.0328,0.2336,0,0.0174,0,Bayes-M17-med
Bengamisa,Tshopo,1,FALSE,0.0158,0.012,0.0201,0.0157,63,61,66,0.0159,1.3111,63,0.0377,NA,NA,NA,NA,NA,NA,0.3012,0.0263,59,0.612,0.2162,0,0.3764,0,Bayes-M17-med
Kalehe,Sud-Kivu,1,FALSE,0.0157,0.012,0.0198,0.0157,64,63,64,0.0158,1.3026,64,0.0375,NA,NA,NA,NA,NA,NA,0.3369,0.0293,55,0.3417,0.8649,0,0.1409,0,Bayes-M17-med
Binza Meteo,Kinshasa,1,FALSE,0.0154,0.0119,0.0193,0.0154,65,63,66,0.0155,1.2818,65,0.0369,NA,NA,NA,NA,NA,NA,0.2558,0.0219,72,0.0965,0.8996,0,0.027,0,Bayes-M17-med
Birambizo,Nord-Kivu,1,FALSE,0.0153,0.0117,0.0194,0.0153,66,65,66,0.0154,1.2732,66,0.0367,NA,NA,0.2772,19,NA,NA,0.3625,0.0308,54,0.4035,0.89,0,0.1564,0,Bayes-M17-med
Pinga,Nord-Kivu,1,FALSE,0.0145,0.0111,0.0184,0.0145,67,67,69,0.0146,1.2069,67,0.0348,NA,NA,0.2627,20,NA,NA,0.57,0.0459,48,0.9595,0.7548,0,0.5656,0,Bayes-M17-med
Bagira,Sud-Kivu,1,FALSE,0.0143,0.0109,0.0182,0.0143,68,68,70,0.0144,1.1899,68,0.0343,NA,NA,NA,NA,NA,NA,0.236,0.0187,76,0.1004,0.6371,0,0.2066,0,Bayes-M17-med
Kikimi,Kinshasa,1,FALSE,0.0139,0.0108,0.0174,0.0139,70,68,72,0.014,1.1581,70,0.0334,NA,NA,NA,NA,NA,NA,0.0835,0.0065,155,0.056,0.1911,0,0.0869,0,Bayes-M17-med
Yakusu,Tshopo,1,FALSE,0.0139,0.0109,0.0176,0.0139,70,67,78,0.014,1.1581,69,0.0334,NA,NA,NA,NA,NA,NA,0.319,0.0247,66,0.4208,0.2085,0,0.6467,0,Bayes-M17-med
Nyantende,Sud-Kivu,1,FALSE,0.0138,0.0106,0.0175,0.0138,71,69,75,0.0139,1.1471,71,0.0331,NA,NA,NA,NA,NA,NA,0.3219,0.0246,67,0.1486,0.8938,0,0.2452,0,Bayes-M17-med
Isangi,Tshopo,1,FALSE,0.0137,0.0104,0.0173,0.0136,72,69,76,0.0138,1.1356,72,0.0327,NA,NA,NA,NA,NA,NA,0.3837,0.0291,56,0.4054,0.4073,0,0.722,0,Bayes-M17-med
Matete,Kinshasa,1,FALSE,0.0136,0.0106,0.017,0.0136,73,70,76,0.0137,1.1301,73,0.0326,NA,NA,NA,NA,NA,NA,0.0492,0.0037,235,0.0251,0.1158,0,0.056,0,Bayes-M17-med
Barumbu,Kinshasa,1,FALSE,0.0135,0.0105,0.0169,0.0135,74,72,78,0.0136,1.1223,74,0.0324,NA,NA,NA,NA,NA,NA,0.014,0.001,419,0.0097,0.0232,0,0.0232,0,Bayes-M17-med
Mont Ngafula 1,Kinshasa,1,FALSE,0.0135,0.0105,0.0169,0.0135,75,73,75,0.0136,1.1221,75,0.0323,NA,NA,NA,NA,NA,NA,0.2066,0.0155,85,0.1371,0.6313,0,0.0579,0,Bayes-M17-med
Bondo,Bas-Uele,1,FALSE,0.0134,0.0104,0.0168,0.0134,77,73,78,0.0135,1.1146,76,0.0321,NA,NA,NA,NA,NA,NA,0.6737,0.0501,46,0.9961,0.9981,0,0.7008,0,Bayes-M17-med
Nyemba,Tanganyika,1,FALSE,0.0134,0.0103,0.017,0.0134,76,73,77,0.0135,1.1134,77,0.0321,NA,NA,NA,NA,NA,NA,0.3456,0.0257,65,0.5965,0.4556,0,0.3301,0,Bayes-M17-med
Lemera,Sud-Kivu,1,FALSE,0.0132,0.01,0.0168,0.0132,78,73,78,0.0133,1.0954,78,0.0316,NA,NA,NA,NA,NA,NA,0.5613,0.041,49,0.3629,0.9015,0,0.9807,0,Bayes-M17-med
Lubutu,Maniema,1,FALSE,0.0129,0.0099,0.0164,0.0129,79,79,80,0.013,1.073,79,0.0309,NA,NA,NA,NA,NA,NA,0.4706,0.0337,51,0.8205,0.2819,0,0.7799,0,Bayes-M17-med
Mubumbano,Sud-Kivu,1,FALSE,0.0129,0.0098,0.0164,0.0128,80,78,81,0.013,1.0691,80,0.0308,NA,NA,NA,NA,NA,NA,0.3658,0.0261,61,0.2683,0.9402,0,0.2548,0,Bayes-M17-med
Mont Ngafula 2,Kinshasa,1,FALSE,0.0125,0.0097,0.0157,0.0125,81,80,81,0.0126,1.0398,81,0.03,NA,NA,NA,NA,NA,NA,0.0951,0.0066,151,0.0849,0.2568,0,0.0386,0,Bayes-M17-med
Selembao,Kinshasa,1,FALSE,0.0123,0.0095,0.0154,0.0123,82,82,82,0.0124,1.0201,82,0.0294,NA,NA,NA,NA,NA,NA,0.0676,0.0046,213,0.0444,0.1815,0,0.0444,0,Bayes-M17-med
Ndjili,Kinshasa,1,FALSE,0.0115,0.0089,0.0143,0.0114,84,83,84,0.0115,0.9498,84,0.0274,NA,NA,NA,NA,NA,NA,0.0487,0.0031,276,0.027,0.1042,0,0.0637,0,Bayes-M17-med
Mwana,Sud-Kivu,1,FALSE,0.0115,0.0087,0.0146,0.0114,83,83,86,0.0115,0.9506,83,0.0274,NA,NA,NA,NA,NA,NA,0.3731,0.0237,69,0.2896,0.9035,0,0.2992,0,Bayes-M17-med
Kingabwa,Kinshasa,1,FALSE,0.0113,0.0088,0.0142,0.0113,85,84,86,0.0114,0.9386,85,0.0271,NA,NA,NA,NA,NA,NA,0.0478,0.003,281,0.0425,0.0965,0,0.0521,0,Bayes-M17-med
Ngiri Ngiri,Kinshasa,1,FALSE,0.0109,0.0084,0.0136,0.0108,87,85,89,0.0109,0.8997,87,0.026,NA,NA,NA,NA,NA,NA,0.028,0.0017,383,0.0154,0.0676,0,0.029,0,Bayes-M17-med
Kaniola,Sud-Kivu,1,FALSE,0.0109,0.0083,0.0139,0.0109,86,85,88,0.011,0.9078,86,0.0262,NA,NA,NA,NA,NA,NA,0.4513,0.0274,58,0.5328,0.9305,0,0.3417,0,Bayes-M17-med
Nyangezi,Sud-Kivu,1,FALSE,0.0108,0.0082,0.0137,0.0108,88,87,89,0.0108,0.8945,88,0.0258,NA,NA,NA,NA,NA,NA,0.36870000000000003,0.022,71,0.222,0.8842,0,0.36870000000000003,0,Bayes-M17-med
Police,Kinshasa,1,FALSE,0.0106,0.0082,0.0132,0.0105,89,87,90,0.0106,0.8751,89,0.0253,NA,NA,NA,NA,NA,NA,0.0478,0.0028,302,0.0463,0.0772,0,0.0676,0,Bayes-M17-med
Bunyakiri,Sud-Kivu,1,FALSE,0.0105,0.008,0.0133,0.0104,90,88,90,0.0105,0.868,90,0.0251,NA,NA,NA,NA,NA,NA,0.4517,0.0262,60,0.6197,0.832,0,0.3552,0,Bayes-M17-med
Kindu,Maniema,1,FALSE,0.0096,0.0073,0.0121,0.0095,91,91,91,0.0096,0.7919,91,0.0229,NA,NA,NA,NA,NA,NA,0.3181,0.0168,77,0.1351,0.2529,0,0.8842,0,Bayes-M17-med
Maluku 1,Kinshasa,1,FALSE,0.0091,0.007,0.0114,0.0091,92,92,93,0.0091,0.7525,92,0.0217,NA,NA,NA,NA,NA,NA,0.2321,0.0117,105,0.3475,0.4517,0,0.1293,0,Bayes-M17-med
