model,term,is_intercept,effect_scale,hr,lo,hi,p_dir,rhat
Bayes-M4-med,Intercept,TRUE,hazard ratio,0.043942498914125994,0.03541404516081256,0.05506240014912034,NA,1.000899838031115
Bayes-M8-med,Intercept,TRUE,hazard ratio,0.06579789725788268,0.05174153356960773,0.08168575906168866,NA,1.0030678957535264
Bayes-M10-med,Intercept,TRUE,hazard ratio,0.12145506136205242,0.09714030774845249,0.1505580518758033,NA,1.0031373159178623
Bayes-M17-med,Intercept,TRUE,hazard ratio,0.09364161871121687,0.0738943691147182,0.11735447997171794,NA,0.9999958869030322
Bayes-M17-geo,Intercept,TRUE,hazard ratio,0.05222245676380419,0.028188792717769733,0.08506059167148179,NA,1.0042234285566938
Bayes-M17-geo,log_pop,FALSE,hazard ratio,0.6719690745979773,0.5241572161551079,0.8601687083062877,0.004,1.0042234285566938
Bayes-M17-geo,ccvi,FALSE,hazard ratio,1.7123662317012225,1.2575008858149104,2.40249425718713,1,1.0042234285566938
Bayes-M17-geo,d_min,FALSE,hazard ratio,0.6754700839139647,0.5154978969074016,0.8643684572504876,0.0035,1.0042234285566938
Bayes-M17-dist-med,Intercept,TRUE,hazard ratio,0.09427317006882953,0.0746638084056029,0.11717628852048245,NA,1.003758707279341
Bayes-M17-dist-geo,Intercept,TRUE,hazard ratio,0.07587581475311994,0.04209693038347715,0.12394955707407257,NA,1.0050872265083062
Bayes-M17-dist-geo,log_pop,FALSE,hazard ratio,0.7246298509763677,0.5570113960928189,0.9147814439793978,0.02,1.0050872265083062
Bayes-M17-dist-geo,ccvi,FALSE,hazard ratio,1.7039700211068176,1.2395768214803535,2.421869726228905,0.9985,1.0050872265083062
Bayes-M17-dist-geo,d_min,FALSE,hazard ratio,0.8370730805137742,0.6417860137758048,1.0386464613465125,0.094,1.0050872265083062
Bayes-M8-geo,Intercept,TRUE,hazard ratio,0.033007034149815706,0.017696709423581865,0.05454977920166033,NA,1.0039105392065732
Bayes-M8-geo,log_pop,FALSE,hazard ratio,0.6341051422742392,0.5055471659121413,0.79274968844282,0,1.0039105392065732
Bayes-M8-geo,ccvi,FALSE,hazard ratio,1.777675763393915,1.2653279818517333,2.5364488336491666,0.9985,1.0039105392065732
Bayes-M8-geo,d_min,FALSE,hazard ratio,0.6320655033048145,0.47518103258477684,0.7975026412597578,5e-4,1.0039105392065732
Bayes-M4-geo,Intercept,TRUE,hazard ratio,0.022497370612685932,0.011841407996362158,0.03749154963884208,NA,1.000982645831541
Bayes-M4-geo,log_pop,FALSE,hazard ratio,0.6054268458153012,0.474402327088745,0.7621341208157284,5e-4,1.000982645831541
Bayes-M4-geo,ccvi,FALSE,hazard ratio,1.6015935306066496,1.1142771150045065,2.3991679034533084,0.9855,1.000982645831541
Bayes-M4-geo,d_min,FALSE,hazard ratio,0.645269945233163,0.4871218025835973,0.8176777711709196,0.0015,1.000982645831541
Bayes-M10-geo,Intercept,TRUE,hazard ratio,0.09458573115932589,0.053475642604117836,0.15966056956816932,NA,1.0040868764025561
Bayes-M10-geo,log_pop,FALSE,hazard ratio,0.7043681014243184,0.5628225645645157,0.9039522653074805,0.0095,1.0040868764025561
Bayes-M10-geo,ccvi,FALSE,hazard ratio,1.7433369833664272,1.31929459684653,2.4586722125966745,0.999,1.0040868764025561
Bayes-M10-geo,d_min,FALSE,hazard ratio,0.8092197760314477,0.6232949825618354,1.0309325951135697,0.075,1.0040868764025561
Bayes-M4-dist,Intercept,TRUE,hazard ratio,0.06311807872403799,0.04973790829132461,0.0783440033551207,NA,1.0030704510669208
Bayes-M4-dist-geo,Intercept,TRUE,hazard ratio,0.046725557358544764,0.025065051994303235,0.07682207684858401,NA,1.0039563623580405
Bayes-M4-dist-geo,log_pop,FALSE,hazard ratio,0.6694293707115635,0.5267300745265029,0.8527143228923881,0.005,1.0039563623580405
Bayes-M4-dist-geo,ccvi,FALSE,hazard ratio,1.363688113976733,0.9138986142581189,2.050635915059664,0.908,1.0039563623580405
Bayes-M4-dist-geo,d_min,FALSE,hazard ratio,0.8203141726781384,0.6216051665392028,1.0366391575778997,0.084,1.0039563623580405
Bayes-M8-dist,Intercept,TRUE,hazard ratio,0.08311975747269948,0.06574191791705104,0.1044052607221119,NA,1.0039048885148432
Bayes-M8-dist-geo,Intercept,TRUE,hazard ratio,0.05220721267804877,0.028094553873552405,0.0871789860413928,NA,1.0016053690338451
Bayes-M8-dist-geo,log_pop,FALSE,hazard ratio,0.7196627716862491,0.5672670900042163,0.9201414127664781,0.019,1.0016053690338451
Bayes-M8-dist-geo,ccvi,FALSE,hazard ratio,1.6920121524172533,1.2213892959525285,2.4894705651591664,0.998,1.0016053690338451
Bayes-M8-dist-geo,d_min,FALSE,hazard ratio,0.7300280400511966,0.561528342904254,0.9325873161461997,0.0135,1.0016053690338451
Bayes-M10-dist,Intercept,TRUE,hazard ratio,0.09672235800129783,0.07599123333242667,0.12165265259039465,NA,1.0005741205467793
Bayes-M10-dist-geo,Intercept,TRUE,hazard ratio,0.1120805137311136,0.06391391575932606,0.18149801124707637,NA,1.0019292509279454
Bayes-M10-dist-geo,log_pop,FALSE,hazard ratio,0.7309226903041598,0.5667871689141009,0.9564612915741892,0.028,1.0019292509279454
Bayes-M10-dist-geo,ccvi,FALSE,hazard ratio,1.866888236367245,1.3550341716933114,2.637824923659464,1,1.0019292509279454
Bayes-M10-dist-geo,d_min,FALSE,hazard ratio,0.9942194833555935,0.7857568550436599,1.2444495656217587,0.4805,1.0019292509279454
